SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN
HAW_0001A,0001,217.9331,2235.0964,-155.699,20.1927,DEEP
HAW_0002A,0002,212.4626,2240.4073,-155.7522,20.2398,DEEP
HAW_0003A,0003,262.6105,2214.7748,-155.2691,20.0152,DEEP
HAW_0004A,0004,205.9193,2242.9431,-155.8152,20.2617,DEEP
HAW_0005A,0005,201.2733,2243.8386,-155.8597,20.269,DEEP
HAW_0006A,0006,230.0445,2227.4359,-155.5821,20.1253,DEEP
HAW_0007A,0007,209.6697,2241.5954,-155.7791,20.2501,DEEP
HAW_0008A,0008,230.7095,2227.631,-155.5758,20.1271,DEEP
HAW_0009A,0009,217.2327,2235.3092,-155.7058,20.1945,DEEP
HAW_0010A,0010,215.9471,2236.2224,-155.7182,20.2025,DEEP
HAW_0011A,0011,230.408,2227.6576,-155.5786,20.1273,DEEP
HAW_0012A,0012,278.1088,2201.3335,-155.1195,19.8957,DEEP
HAW_0013A,0013,212.9946,2239.6448,-155.747,20.233,DEEP
HAW_0014A,0014,235.6746,2226.8596,-155.5282,20.1208,DEEP
HAW_0015A,0015,217.7824,2235.3447,-155.7005,20.1949,DEEP
HAW_0016A,0016,260.2698,2215.7146,-155.2916,20.0234,DEEP
HAW_0017A,0017,250.3306,2220.6177,-155.3872,20.0664,DEEP
HAW_0018A,0018,208.5348,2241.8703,-155.79,20.2524,DEEP
HAW_0019A,0019,217.0997,2235.3979,-155.707,20.1953,DEEP
HAW_0020A,0020,208.8717,2241.6841,-155.7867,20.2508,DEEP
HAW_0021A,0021,199.837,2243.6081,-155.8734,20.2667,DEEP
HAW_0022A,0022,198.7907,2243.0495,-155.8833,20.2615,DEEP
HAW_0023A,0023,208.0383,2242.0831,-155.7947,20.2542,DEEP
HAW_0024A,0024,225.0084,2230.1224,-155.6306,20.1488,DEEP
HAW_0025A,0025,265.9353,2212.1592,-155.237,19.992,DEEP
HAW_0026A,0026,212.1168,2240.3009,-155.7555,20.2388,DEEP
HAW_0027A,0027,278.0911,2201.5019,-155.1196,19.8972,DEEP
HAW_0028A,0028,243.5124,2224.2529,-155.4529,20.0984,DEEP
HAW_0029A,0029,212.3739,2240.3541,-155.753,20.2393,DEEP
HAW_0030A,0030,215.4151,2236.6037,-155.7233,20.2059,DEEP
HAW_0031A,0031,244.204,2223.9692,-155.4463,20.0959,DEEP
HAW_0032A,0032,204.8198,2243.2179,-155.8257,20.264,DEEP
HAW_0033A,0033,216.0446,2236.7189,-155.7173,20.207,DEEP
HAW_0034A,0034,208.4728,2241.7107,-155.7905,20.251,DEEP
HAW_0035A,0035,247.4668,2222.4885,-155.4149,20.0829,DEEP
HAW_0036A,0036,230.5942,2227.6398,-155.5769,20.1272,DEEP
HAW_0037A,0037,214.5018,2238.5188,-155.7324,20.2231,DEEP
HAW_0038A,0038,236.375,2226.5581,-155.5215,20.1182,DEEP
HAW_0039A,0039,275.7769,2204.1175,-155.1421,19.9205,DEEP
HAW_0040A,0040,223.6873,2231.3548,-155.6434,20.1597,DEEP
HAW_0041A,0041,209.2175,2241.5511,-155.7834,20.2496,DEEP
HAW_0042A,0042,213.1719,2239.6005,-155.7453,20.2326,DEEP
HAW_0043A,0043,272.3013,2207.2828,-155.1756,19.9487,DEEP
HAW_0044A,0044,265.5807,2212.6203,-155.2405,19.9961,DEEP
HAW_0045A,0045,259.2501,2216.2555,-155.3014,20.0282,DEEP
HAW_0046A,0046,238.3966,2225.9286,-155.502,20.1128,DEEP
HAW_0047A,0047,214.227,2238.6429,-155.735,20.2241,DEEP
HAW_0048A,0048,199.6419,2243.6967,-155.8753,20.2675,DEEP
HAW_0049A,0049,204.7489,2243.1293,-155.8264,20.2632,DEEP
HAW_0050A,0050,215.8407,2236.4618,-155.7192,20.2047,DEEP
HAW_0051A,0051,240.0191,2225.3789,-155.4865,20.1081,DEEP
HAW_0052A,0052,201.4329,2244.1223,-155.8583,20.2716,DEEP
HAW_0053A,0053,265.9974,2212.372,-155.2365,19.9939,DEEP
HAW_0054A,0054,270.4749,2208.5063,-155.1932,19.9596,DEEP
HAW_0055A,0055,270.7675,2208.2847,-155.1904,19.9576,DEEP
HAW_0056A,0056,252.5029,2219.8286,-155.3664,20.0596,DEEP
HAW_0057A,0057,212.5335,2240.496,-155.7515,20.2406,DEEP
HAW_0058A,0058,273.2234,2206.405,-155.1667,19.9409,DEEP
HAW_0059A,0059,224.5651,2230.6455,-155.6349,20.1535,DEEP
HAW_0060A,0060,198.4981,2242.7303,-155.8861,20.2586,DEEP
HAW_0061A,0061,220.6462,2233.4118,-155.6728,20.1779,DEEP
HAW_0062A,0062,215.1048,2236.8785,-155.7263,20.2083,DEEP
HAW_0063A,0063,245.8354,2223.2953,-155.4306,20.09,DEEP
HAW_0064A,0064,279.0309,2200.0479,-155.1105,19.8842,DEEP
HAW_0065A,0065,252.0596,2219.8641,-155.3706,20.0598,DEEP
HAW_0066A,0066,217.144,2235.9032,-155.7067,20.1998,DEEP
HAW_0067A,0067,193.666,2122.308,-155.9125,19.171,DEEP
HAW_0068A,0068,190.8377,2198.4608,-155.9519,19.8579,DEEP
HAW_0069A,0069,194.1359,2147.7455,-155.9121,19.4007,DEEP
HAW_0070A,0070,187.6901,2168.998,-155.977,19.5915,DEEP
HAW_0071A,0071,196.8313,2230.9292,-155.9001,20.1518,DEEP
HAW_0072A,0072,214.9186,2097.5444,-155.707,18.9506,DEEP
HAW_0073A,0073,203.3569,2214.6861,-155.8351,20.0063,DEEP
HAW_0074A,0074,199.172,2224.4214,-155.8766,20.0935,DEEP
HAW_0075A,0075,203.0377,2212.4784,-155.8377,19.9863,DEEP
HAW_0076A,0076,199.2961,2208.4177,-155.8728,19.9491,DEEP
HAW_0077A,0077,219.1655,2093.0935,-155.6661,18.911,DEEP
HAW_0078A,0078,181.8827,2176.5078,-156.0335,19.6583,DEEP
HAW_0079A,0079,220.5487,2093.8915,-155.6531,18.9183,DEEP
HAW_0080A,0080,187.1315,2169.8758,-155.9824,19.5993,DEEP
HAW_0081A,0081,189.2594,2161.6745,-155.9608,19.5256,DEEP
HAW_0082A,0082,202.5767,2212.0351,-155.8421,19.9822,DEEP
HAW_0083A,0083,196.6274,2232.401,-155.9023,20.1651,DEEP
HAW_0084A,0084,196.4146,2237.5612,-155.9052,20.2116,DEEP
HAW_0085A,0085,189.5609,2198.1061,-155.964,19.8545,DEEP
HAW_0086A,0086,196.4944,2237.1091,-155.9043,20.2076,DEEP
HAW_0087A,0087,193.0631,2120.7741,-155.918,19.1571,DEEP
HAW_0088A,0088,193.1784,2152.152,-155.922,19.4403,DEEP
HAW_0089A,0089,196.4944,2237.2775,-155.9043,20.2091,DEEP
HAW_0090A,0090,180.1271,2190.5343,-156.0527,19.7846,DEEP
HAW_0091A,0091,192.8946,2117.6177,-155.9191,19.1286,DEEP
HAW_0092A,0092,193.0631,2120.1358,-155.9179,19.1513,DEEP
HAW_0093A,0093,198.4272,2207.5044,-155.8809,19.9407,DEEP
HAW_0094A,0094,189.2062,2162.5522,-155.9615,19.5335,DEEP
HAW_0095A,0095,202.2486,2219.8463,-155.8465,20.0527,DEEP
HAW_0096A,0096,187.3177,2196.5723,-155.9851,19.8403,DEEP
HAW_0097A,0097,196.3259,2136.1395,-155.8895,19.2963,DEEP
HAW_0098A,0098,195.6343,2203.9313,-155.907,19.908,DEEP
HAW_0099A,0099,188.0891,2197.2372,-155.9779,19.8464,DEEP
HAW_0100A,0100,189.3392,2163.0842,-155.9603,19.5384,DEEP
HAW_0101A,0101,191.7154,2198.3278,-155.9435,19.8568,DEEP
HAW_0102A,0102,180.0385,2190.4722,-156.0535,19.784,DEEP
HAW_0103A,0103,193.9941,2149.5808,-155.9138,19.4172,DEEP
HAW_0104A,0104,200.2803,2209.2422,-155.8635,19.9567,DEEP
HAW_0105A,0105,193.0365,2119.923,-155.9181,19.1494,DEEP
HAW_0106A,0106,200.2359,2222.6215,-155.8662,20.0774,DEEP
HAW_0107A,0107,197.9928,2226.6823,-155.8883,20.1137,DEEP
HAW_0108A,0108,196.716,2239.0951,-155.9025,20.2255,DEEP
HAW_0109A,0109,189.4013,2198.1859,-155.9655,19.8552,DEEP
HAW_0110A,0110,203.082,2212.372,-155.8373,19.9853,DEEP
HAW_0111A,0111,203.2948,2215.4664,-155.8358,20.0133,DEEP
HAW_0112A,0112,196.9377,2230.1579,-155.8989,20.1449,DEEP
HAW_0113A,0113,217.3745,2093.2708,-155.6831,18.9123,DEEP
HAW_0114A,0114,190.5007,2198.1061,-155.955,19.8546,DEEP
HAW_0115A,0115,218.3587,2092.6147,-155.6737,18.9065,DEEP
HAW_0116A,0116,193.1429,2121.3948,-155.9174,19.1627,DEEP
HAW_0117A,0117,193.1695,2152.2673,-155.9221,19.4413,DEEP
HAW_0118A,0118,218.9439,2093.2708,-155.6682,18.9125,DEEP
HAW_0119A,0119,182.2462,2175.497,-156.0299,19.6493,DEEP
HAW_0120A,0120,181.9181,2178.1569,-156.0335,19.6732,DEEP
HAW_0121A,0121,193.7015,2199.5425,-155.9247,19.8681,DEEP
HAW_0122A,0122,221.2225,2094.8845,-155.6468,18.9274,DEEP
HAW_0123A,0123,187.0429,2170.3102,-155.9833,19.6032,DEEP
HAW_0124A,0124,194.1714,2124.5423,-155.9081,19.1913,DEEP
HAW_0125A,0125,202.8958,2212.1504,-155.839,19.9833,DEEP
HAW_0126A,0126,205.3163,2104.1764,-155.7991,19.0091,DEEP
HAW_0127A,0127,190.0042,2198.0529,-155.9597,19.8541,DEEP
HAW_0128A,0128,185.4203,2173.8124,-155.9994,19.6346,DEEP
HAW_0129A,0129,221.7545,2095.1239,-155.6418,18.9296,DEEP
HAW_0130A,0130,304.6013,2162.7029000000002,-154.8625,19.5496,DEEP
HAW_0131A,0131,280.2899,2198.4165,-155.0983,19.8696,DEEP
HAW_0132A,0132,293.616,2174.6193,-154.9684,19.6561,DEEP
HAW_0133A,0133,287.6755,2185.1791,-155.0263,19.7508,DEEP
HAW_0134A,0134,286.1151,2185.3298,-155.0412,19.752,DEEP
HAW_0135A,0135,295.8857,2169.6807,-154.9463,19.6117,DEEP
HAW_0136A,0136,303.1029,2149.1286,-154.8753,19.4268,DEEP
HAW_0137A,0137,281.5578,2187.7769,-155.0849,19.7736,DEEP
HAW_0138A,0138,281.7706,2187.8655,-155.0829,19.7745,DEEP
HAW_0139A,0139,292.7027,2177.5629,-154.9775,19.6826,DEEP
HAW_0140A,0140,284.6876,2184.9219,-155.0547,19.7482,DEEP
HAW_0141A,0141,282.0632,2185.4716,-155.0798,19.7529,DEEP
HAW_0142A,0142,288.4292,2183.5654,-155.0189,19.7364,DEEP
HAW_0143A,0143,293.3677,2173.8568,-154.9707,19.6492,DEEP
HAW_0144A,0144,288.0125,2183.6806,-155.0229,19.7373,DEEP
HAW_0145A,0145,286.3101,2184.1949,-155.0392,19.7418,DEEP
HAW_0146A,0146,297.5349,2145.4048,-154.9279,19.3926,DEEP
HAW_0147A,0147,283.7478,2185.3298,-155.0638,19.7518,DEEP
HAW_0148A,0148,280.0948,2198.5317,-155.1002,19.8706,DEEP
HAW_0149A,0149,282.0898,2196.6343,-155.0809,19.8537,DEEP
HAW_0150A,0150,286.8421,2184.7712,-155.0342,19.7471,DEEP
HAW_0151A,0151,282.7281,2185.7376,-155.0735,19.7553,DEEP
HAW_0152A,0152,307.9439,2161.2045,-154.8305,19.5364,DEEP
HAW_0153A,0153,281.6819,2190.4456,-155.0841,19.7977,DEEP
HAW_0154A,0154,293.2613,2176.0645,-154.972,19.6691,DEEP
HAW_0155A,0155,293.412,2173.9809,-154.9703,19.6503,DEEP
HAW_0156A,0156,281.5489,2187.2094,-155.0849,19.7685,DEEP
HAW_0157A,0157,307.4563,2161.5149,-154.8351,19.5391,DEEP
HAW_0158A,0158,310.7191,2159.05,-154.8038,19.5172,DEEP
HAW_0159A,0159,281.8504,2185.5071,-155.0819,19.7532,DEEP
HAW_0160A,0160,281.6819,2185.1436,-155.0834,19.7499,DEEP
HAW_0161A,0161,287.5957,2185.25,-155.027,19.7515,DEEP
HAW_0162A,0162,281.4691,2186.1721,-155.0856,19.7591,DEEP
HAW_0163A,0163,293.4564,2175.834,-154.9701,19.6671,DEEP
HAW_0164A,0164,306.9686,2152.4092,-154.8389,19.4568,DEEP
HAW_0165A,0165,291.3551,2139.7835,-154.9861,19.3412,DEEP
HAW_0166A,0166,292.9244,2172.314,-154.9748,19.6352,DEEP
HAW_0167A,0167,221.9407,2095.2924,-155.6401,18.9312,DEEP
HAW_0168A,0168,249.178,2124.4448,-155.3854,19.1979,DEEP
HAW_0169A,0169,232.7044,2112.3955,-155.5403,19.087,DEEP
HAW_0170A,0170,222.4727,2095.4165,-155.635,18.9324,DEEP
HAW_0171A,0171,235.6037,2115.7203,-155.5132,19.1174,DEEP
HAW_0172A,0172,228.1648,2103.5292,-155.5822,19.0064,DEEP
HAW_0173A,0173,227.1186,2100.4348,-155.5917,18.9783,DEEP
HAW_0174A,0174,222.4283,2095.5229,-155.6355,18.9333,DEEP
HAW_0175A,0175,264.9689,2131.3694,-155.2362,19.2623,DEEP
HAW_0176A,0176,231.401,2110.9503,-155.5525,19.0738,DEEP
HAW_0177A,0177,224.2193,2098.2537,-155.6189,18.9582,DEEP
HAW_0178A,0178,231.4808,2110.6222,-155.5517,19.0709,DEEP
