SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN
GUA_2784A,2784,271.2893,1509.515,144.8858,13.6455,DEEP
GUA_2785A,2785,269.8193,1510.8308,144.8721,13.6573,DEEP
GUA_2786A,2786,269.1593,1490.951,144.8676,13.4776,DEEP
GUA_2787A,2787,269.2493,1490.8592,144.8684,13.4767,DEEP
GUA_2788A,2788,275.1693,1494.572,144.9228,13.5108,DEEP
GUA_2789A,2789,276.0693,1495.949,144.931,13.5233,DEEP
GUA_2790A,2790,268.9793,1511.0246,144.8643,13.6589,DEEP
GUA_2791A,2791,271.4893,1509.1376,144.8876,13.6421,DEEP
GUA_2792A,2792,242.7293,1488.5132,144.6238,13.4534,DEEP
GUA_2793A,2793,279.3593,1504.1396,144.9607,13.5975,DEEP
GUA_2794A,2794,274.9393,1505.027,144.9198,13.6052,DEEP
GUA_2795A,2795,273.9293,1505.3432,144.9105,13.608,DEEP
GUA_2796A,2796,278.3893,1501.6814,144.952,13.5752,DEEP
GUA_2797A,2797,244.8693,1473.1928,144.6449,13.3151,DEEP
GUA_2798A,2798,262.6693,1499.7842,144.8069,13.5569,DEEP
GUA_2799A,2799,246.2193,1468.5314,144.6577,13.2731,DEEP
GUA_2800A,2800,243.7393,1478.0582,144.634,13.359,DEEP
GUA_2801A,2801,259.2793,1478.0888,144.7774,13.3606,MID
GUA_2802A,2802,273.2193,1494.827,144.9048,13.5129,MID
GUA_2803A,2803,258.2093,1470.551,144.7682,13.2924,MID
GUA_2804A,2804,258.9593,1471.673,144.775,13.3026,MID
GUA_2805A,2805,274.4993,1495.1942,144.9165,13.5163,MID
GUA_2806A,2806,268.4193,1490.3594,144.8608,13.4722,MID
GUA_2807A,2807,274.1493,1494.9902,144.9133,13.5145,MID
GUA_2808A,2808,258.7793,1473.0806,144.7732,13.3153,MID
GUA_2809A,2809,271.9093,1493.4194,144.8928,13.5001,MID
GUA_2810A,2810,259.5393,1480.343,144.7796,13.381,MID
GUA_2811A,2811,248.6993,1464.686,144.6809,13.2386,MID
GUA_2812A,2812,272.3093,1494.1436,144.8964,13.5067,MID
GUA_2813A,2813,271.6593,1508.6276,144.8892,13.6375,MID
GUA_2814A,2814,242.6493,1488.146,144.6231,13.45,MID
GUA_2815A,2815,244.3293,1485.7082,144.6388,13.4282,MID
GUA_2816A,2816,262.1393,1496.6222,144.8023,13.5283,MID
GUA_2817A,2817,261.7393,1495.0106,144.7987,13.5137,MID
GUA_2818A,2818,273.2793,1506.7814,144.9044,13.6209,MID
GUA_2819A,2819,279.1793,1504.2518,144.9591,13.5985,MID
GUA_2820A,2820,244.9893,1475.0798,144.6458,13.3322,MID
GUA_2821A,2821,245.1093,1472.8052,144.6471,13.3116,MID
GUA_2822A,2822,246.4493,1483.2602,144.6586,13.4062,MID
GUA_2823A,2823,245.0993,1474.3148,144.6469,13.3253,MID
GUA_2824A,2824,248.6593,1489.7984,144.6784,13.4655,MID
GUA_2825A,2825,263.3593,1500.1106,144.8133,13.5599,MID
GUA_2826A,2826,248.9593,1490.0534,144.6812,13.4678,MID
GUA_2827A,2827,244.1493,1478.3132,144.6378,13.3613,MID
GUA_2828A,2828,265.9993,1488.6764,144.8386,13.4568,SHAL
GUA_2829A,2829,275.9893,1496.7242,144.9302,13.5303,SHAL
GUA_2830A,2830,258.8793,1474.6718,144.774,13.3297,SHAL
GUA_2831A,2831,272.7993,1507.118,144.8999,13.6239,SHAL
GUA_2832A,2832,265.4993,1487.8706,144.834,13.4494,SHAL
GUA_2833A,2833,243.2793,1487.7584,144.6289,13.4466,SHAL
GUA_2834A,2834,254.1293,1491.2672,144.7288,13.4792,SHAL
GUA_2835A,2835,261.1493,1494.6536,144.7933,13.5104,SHAL
GUA_2836A,2836,245.0193,1475.3348,144.6461,13.3345,SHAL
GUA_2837A,2837,263.5093,1500.0902,144.8147,13.5597,SHAL
GUA_2838A,2838,244.8993,1478.7824,144.6447,13.3656,SHAL
GUA_2839A,2839,256.4293,1491.7466,144.75,13.4837,SHAL
