SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN
AGU_0580A,0580,342.5625,1642.2795,145.5367,14.8503,DEEP
AGU_0581A,0581,343.1775,1640.9865,145.5425,14.8386,DEEP
AGU_0582A,0582,346.4925,1642.1985,145.5732,14.8498,DEEP
AGU_0583A,0583,345.4785,1641.3735,145.5639,14.8422,DEEP
AGU_0584A,0584,341.2485,1640.4555,145.5246,14.8337,DEEP
AGU_0585A,0585,341.9685,1640.1165,145.5313,14.8307,DEEP
AGU_0586A,0586,341.5455,1639.9485,145.5274,14.8291,DEEP
AGU_0587A,0587,347.2365,1643.3415,145.5801,14.8601,DEEP
AGU_0588A,0588,344.9385,1641.4455,145.5588,14.8429,DEEP
AGU_0589A,0589,342.0225,1639.9065,145.5318,14.8288,DEEP
AGU_0590A,0590,342.2355,1641.0525,145.5338,14.8392,MID
AGU_0591A,0591,347.0685,1643.1855,145.5785,14.8587,MID
AGU_0592A,0592,342.4665,1640.4255,145.5359,14.8335,MID
AGU_0593A,0593,342.9225,1642.4685,145.5401,14.852,MID
AGU_0594A,0594,342.7215,1642.4025,145.5382,14.8514,MID
AGU_0595A,0595,342.7935,1641.3675,145.5389,14.842,MID
AGU_0596A,0596,342.2115,1640.4825,145.5336,14.834,MID
AGU_0597A,0597,346.2555,1643.9415,145.5709,14.8655,SHAL
