strat,strat_nam,sector_id,reef_id,depth_bin
1,DEEP_KAL_FOREREEF,KAL,FOREREEF,DEEP
2,MID_KAL_FOREREEF,KAL,FOREREEF,MIDD
3,SHALLOW_KAL_FOREREEF,KAL,FOREREEF,SHAL
