strat,strat_cells,cell_area,strat_area
5,1382,0.0024999999999613465,3.454999999946581
13,364,0.0024999999999613465,0.9099999999859302
6,841,0.0024999999999613465,2.1024999999674923
15,296,0.0024999999999613465,0.7399999999885586
7,2313,0.0024999999999613465,5.782499999910595
2,166,0.0024999999999613465,0.4149999999935835
10,3,0.0024999999999613465,0.0074999999998840395
14,221,0.0024999999999613465,0.5524999999914576
1,597,0.0024999999999613465,1.492499999976924
9,35,0.0024999999999613465,0.08749999999864713
8,810,0.0024999999999613465,2.0249999999686907
16,355,0.0024999999999613465,0.887499999986278
3,95,0.0024999999999613465,0.23749999999632793
11,8,0.0024999999999613465,0.019999999999690772
4,75,0.0024999999999613465,0.18749999999710099
12,5,0.0024999999999613465,0.012499999999806732
