strat,strat_nam,sector_id,reef_id,depth_bin
1,DEEP_FDP_SECTOR_FOREREEF,FDP_SECTOR,FOREREEF,DEEP
2,MID_FDP_SECTOR_FOREREEF,FDP_SECTOR,FOREREEF,MIDD
3,SHALLOW_FDP_SECTOR_FOREREEF,FDP_SECTOR,FOREREEF,SHAL
