SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH,DEPTH_BIN,STRAT
MID_4497A,4497,457.74499999999733,3121.2900000005493,-177.4306,28.2168,25.200000762939453,DEEP,1
MID_4498A,4498,469.58999999998656,3121.700000000521,-177.3099,28.2208,23.31999969482422,DEEP,1
MID_4499A,4499,466.06999999998976,3128.21500000007,-177.346,28.2795,18.010000228881836,DEEP,1
MID_4500A,4500,465.44499999999033,3118.9050000007137,-177.3521,28.1955,19.8700008392334,DEEP,1
MID_4501A,4501,461.11999999999426,3128.2000000000717,-177.3965,28.2792,27.350000381469727,DEEP,1
MID_4502A,4502,465.20999999999054,3121.8100000005134,-177.3546,28.2217,8.229999542236328,MID,2
MID_4503A,4503,458.8599999999963,3122.44000000047,-177.4193,28.2272,6.710000038146973,MID,2
MID_4504A,4504,463.604999999992,3122.4700000004677,-177.3709,28.2276,7.619999885559082,MID,2
MID_4505A,4505,461.3049999999941,3127.595000000113,-177.3946,28.2738,9.449999809265137,MID,2
MID_4506A,4506,458.4149999999967,3121.405000000541,-177.4238,28.2178,6.400000095367432,MID,2
MID_4507A,4507,463.10499999999246,3124.940000000297,-177.3761,28.2499,6.400000095367432,MID,2
MID_4508A,4508,464.7949999999909,3122.545000000462,-177.3588,28.2283,7.929999828338623,MID,2
MID_4509A,4509,466.6799999999892,3119.2600000006896,-177.3395,28.1987,9.0600004196167,MID,2
MID_4510A,4510,462.12499999999335,3126.8700000001636,-177.3862,28.2673,1.5199999809265137,SHAL,3
MID_4511A,4511,461.1749999999942,3123.345000000407,-177.3957,28.2354,4.269999980926514,SHAL,3
MID_4512A,4512,467.3599999999886,3123.065000000426,-177.3327,28.2331,2.440000057220459,SHAL,3
MID_4513A,4513,464.75999999999095,3126.790000000169,-177.3593,28.2666,1.2200000286102295,SHAL,3
MID_4514A,4514,468.9999999999871,3121.610000000527,-177.3159,28.22,1.2200000286102295,SHAL,3
MID_4515A,4515,459.79499999999547,3118.885000000715,-177.4096,28.1951,0.30000001192092896,SHAL,3
MID_4516A,4516,462.98999999999256,3119.39500000068,-177.3771,28.1998,0.30000001192092896,SHAL,3
MID_4517A,4517,461.91999999999354,3121.635000000525,-177.3881,28.22,1.2200000286102295,SHAL,3
MID_4518A,4518,459.13499999999607,3119.9950000006384,-177.4164,28.2051,4.269999980926514,SHAL,3
MID_4519A,4519,468.82499999998726,3122.3400000004767,-177.3177,28.2266,1.2200000286102295,SHAL,3
MID_4520A,4520,460.46499999999486,3125.0600000002887,-177.403,28.2509,2.740000009536743,SHAL,3
MID_4521A,4521,460.5349999999948,3122.1750000004877,-177.4022,28.2248,4.880000114440918,SHAL,3
MID_4522A,4522,467.6499999999883,3124.6250000003183,-177.3298,28.2472,2.130000114440918,SHAL,3
MID_4523A,4523,468.36999999998767,3123.4000000004035,-177.3224,28.2361,2.440000057220459,SHAL,3
MID_4524A,4524,461.14999999999424,3124.260000000344,-177.396,28.2437,4.269999980926514,SHAL,3
MID_4525A,4525,466.96999999998894,3122.1350000004904,-177.3366,28.2247,1.5199999809265137,SHAL,3
MID_4526A,4526,467.0049999999889,3126.3100000002023,-177.3364,28.2623,0.30000001192092896,SHAL,3
MID_4527A,4527,466.4799999999894,3123.285000000411,-177.3417,28.235,2.130000114440918,SHAL,3
MID_4528A,4528,462.02999999999344,3127.3550000001296,-177.3872,28.2716,0.6100000143051147,SHAL,3
MID_4529A,4529,462.0499999999934,3122.3300000004774,-177.3868,28.2263,1.8300000429153442,SHAL,3
