strat,strat_cells,cell_area,strat_area
4,98915,2.4999999999954526e-5,2.472874999995502
8,529752,2.4999999999954526e-5,13.24379999997591
12,2749,2.4999999999954526e-5,0.068724999999875
7,61362,2.4999999999954526e-5,1.5340499999972097
3,306435,2.4999999999954526e-5,7.660874999986065
2,17341,2.4999999999954526e-5,0.43352499999921146
6,142478,2.4999999999954526e-5,3.561949999993521
10,73444,2.4999999999954526e-5,1.8360999999966603
5,101380,2.4999999999954526e-5,2.53449999999539
9,109899,2.4999999999954526e-5,2.7474749999950023
1,15245,2.4999999999954526e-5,0.38112499999930677
11,899,2.4999999999954526e-5,0.022474999999959118
