strat_id,strat_nam,sector_id,reef_id,depth_bin,strat_area,island,region
1,DEEP_MOL_NW_FOREREEF,MOL_NW,FOREREEF,DEEP,8.50963,MOL,MHI
4,DEEP_MOL_WEST_FOREREEF,MOL_WEST,FOREREEF,DEEP,18.73819,MOL,MHI
5,MID_MOL_NW_FOREREEF,MOL_NW,FOREREEF,MIDD,8.54973,MOL,MHI
8,MID_MOL_WEST_FOREREEF,MOL_WEST,FOREREEF,MIDD,13.33946,MOL,MHI
9,SHALLOW_MOL_NW_FOREREEF,MOL_NW,FOREREEF,SHAL,2.85327,MOL,MHI
12,SHALLOW_MOL_WEST_FOREREEF,MOL_WEST,FOREREEF,SHAL,2.83899,MOL,MHI
2,DEEP_MOL_PALI_FOREREEF,MOL_PALI,FOREREEF,DEEP,8.09773,MOL,MHI
6,MID_MOL_PALI_FOREREEF,MOL_PALI,FOREREEF,MIDD,7.87998,MOL,MHI
10,SHALLOW_MOL_PALI_FOREREEF,MOL_PALI,FOREREEF,SHAL,3.1729,MOL,MHI
7,MID_MOL_SOUTH_FOREREEF,MOL_SOUTH,FOREREEF,MIDD,15.48886,MOL,MHI
3,DEEP_MOL_SOUTH_FOREREEF,MOL_SOUTH,FOREREEF,DEEP,9.4382,MOL,MHI
11,SHALLOW_MOL_SOUTH_FOREREEF,MOL_SOUTH,FOREREEF,SHAL,14.24864,MOL,MHI
2,DEEP_NII_LEHUA_FOREREEF,NII_LEHUA,FOREREEF,DEEP,2.54114,NII,MHI
5,MID_NII_LEHUA_FOREREEF,NII_LEHUA,FOREREEF,MIDD,6.08041,NII,MHI
8,SHALLOW_NII_LEHUA_FOREREEF,NII_LEHUA,FOREREEF,SHAL,2.46737,NII,MHI
3,DEEP_NII_WEST_FOREREEF,NII_WEST,FOREREEF,DEEP,16.54494,NII,MHI
6,MID_NII_WEST_FOREREEF,NII_WEST,FOREREEF,MIDD,30.48283,NII,MHI
9,SHALLOW_NII_WEST_FOREREEF,NII_WEST,FOREREEF,SHAL,5.88875,NII,MHI
7,SHALLOW_NII_EAST_FOREREEF,NII_EAST,FOREREEF,SHAL,4.2242,NII,MHI
4,MID_NII_EAST_FOREREEF,NII_EAST,FOREREEF,MIDD,9.16166,NII,MHI
1,DEEP_NII_EAST_FOREREEF,NII_EAST,FOREREEF,DEEP,13.54142,NII,MHI
3,DEEP_OAH_NE_FOREREEF,OAH_NE,FOREREEF,DEEP,6.35522,OAH,MHI
9,MID_OAH_NE_FOREREEF,OAH_NE,FOREREEF,MIDD,32.74097,OAH,MHI
