strat,strat_cells,cell_area,strat_area
2,567243,2.499999999824922e-5,14.181074999006883
6,1356497,2.499999999824922e-5,33.912424997625074
10,285723,2.499999999824922e-5,7.143074999499762
9,424793,2.499999999824922e-5,10.61982499925628
11,701156,2.499999999824922e-5,17.52889999877243
4,7647030,2.499999999824922e-5,191.17574998661175
8,1019906,2.499999999824922e-5,25.49764999821437
7,4625846,2.499999999824922e-5,115.64614999190117
12,763,2.499999999824922e-5,0.019074999998664157
3,44755,2.499999999824922e-5,1.1188749999216439
5,38559,2.499999999824922e-5,0.9639749999324917
1,264,2.499999999824922e-5,0.006599999999537794
