strat,strat_nam,sector_id,reef_id,depth_bin
1,DEEP_ROT_SECTOR_FOREREEF,ROT_SECTOR,FOREREEF,DEEP
2,MID_ROT_SECTOR_FOREREEF,ROT_SECTOR,FOREREEF,MIDD
3,SHALLOW_ROT_SECTOR_FOREREEF,ROT_SECTOR,FOREREEF,SHAL
