strat,strat_nam,sector_id,reef_id,depth_bin
3,SHALLOW_ANA_SECTOR_FOREREEF,ANA_SECTOR,FOREREEF,SHAL
2,MID_ANA_SECTOR_FOREREEF,ANA_SECTOR,FOREREEF,MIDD
1,DEEP_ANA_SECTOR_FOREREEF,ANA_SECTOR,FOREREEF,DEEP
