strat,strat_nam,sector_id,reef_id,depth_bin
1,DEEP_WAK_SECTOR_FOREREEF,WAK_SECTOR,FOREREEF,DEEP
2,MID_WAK_SECTOR_FOREREEF,WAK_SECTOR,FOREREEF,MIDD
3,SHALLOW_WAK_SECTOR_FOREREEF,WAK_SECTOR,FOREREEF,SHAL
