x,y,hardsoft,sector,depth_bin,depth,cell,division,depth_bin,longitude,latitude,sector_id,reef_id,hardsoft_id,strat_nam,strat,depth_bin_value
537672.5,8427332.5,5,7,1,24.78799997329712,62739,1,deep,537.6725,8427.3325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537722.5,8427332.5,5,7,1,25.76900001525879,62740,1,deep,537.7225,8427.3325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537772.5,8427332.5,5,7,1,23.67099988937378,62741,1,deep,537.7725,8427.3325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537822.5,8427332.5,5,7,1,22.41700008392334,62742,1,deep,537.8225,8427.3325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537872.5,8427332.5,5,7,1,22.108000049591066,62743,1,deep,537.8725000000001,8427.3325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537922.5,8427332.5,5,7,1,24.102000064849854,62744,1,deep,537.9225,8427.3325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537972.5,8427332.5,5,7,1,25.313000049591064,62745,1,deep,537.9725,8427.3325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
538022.5,8427332.5,5,7,1,24.33199993133545,62746,1,deep,538.0225,8427.3325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
538072.5,8427332.5,5,7,1,24.827631523734645,62747,1,deep,538.0725,8427.3325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
538122.5,8427332.5,5,7,1,27.449999809265137,62748,1,deep,538.1225000000001,8427.3325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
538172.5,8427332.5,5,7,1,29.475000143051147,62749,1,deep,538.1725,8427.3325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537472.5,8427282.5,5,7,1,27.390909108248625,63691,1,deep,537.4725,8427.2825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537522.5,8427282.5,5,7,1,27.08604657372763,63692,1,deep,537.5225,8427.2825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537572.5,8427282.5,5,7,1,26.68974353105594,63693,1,deep,537.5725,8427.2825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537622.5,8427282.5,5,7,1,24.158585904824612,63694,1,deep,537.6225000000001,8427.2825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537672.5,8427282.5,5,7,1,23.18200002670288,63695,1,deep,537.6725,8427.2825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537722.5,8427282.5,5,7,1,24.32500005722046,63696,1,deep,537.7225,8427.2825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537772.5,8427282.5,5,7,1,24.518000030517577,63697,1,deep,537.7725,8427.2825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537822.5,8427282.5,5,7,1,24.122000007629396,63698,1,deep,537.8225,8427.2825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537872.5,8427282.5,5,7,1,23.761999950408935,63699,1,deep,537.8725000000001,8427.2825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537922.5,8427282.5,5,7,1,23.938999938964844,63700,1,deep,537.9225,8427.2825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537972.5,8427282.5,5,7,1,22.95000003814697,63701,1,deep,537.9725,8427.2825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
538022.5,8427282.5,5,7,1,23.791999969482422,63702,1,deep,538.0225,8427.2825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
538072.5,8427282.5,5,7,1,22.94900005340576,63703,1,deep,538.0725,8427.2825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
538122.5,8427282.5,5,7,1,24.67499996185303,63704,1,deep,538.1225000000001,8427.2825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
538172.5,8427282.5,5,7,1,25.36666663487752,63705,1,deep,538.1725,8427.2825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537622.5,8427232.5,5,7,1,25.378571578434535,64650,1,deep,537.6225000000001,8427.2325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537672.5,8427232.5,5,7,1,24.764285564422607,64651,1,deep,537.6725,8427.2325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537722.5,8427232.5,5,7,1,24.548999977111816,64652,1,deep,537.7225,8427.2325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537772.5,8427232.5,5,7,1,24.387000064849854,64653,1,deep,537.7725,8427.2325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537822.5,8427232.5,5,7,1,24.24199996948242,64654,1,deep,537.8225,8427.2325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537872.5,8427232.5,5,7,1,24.172999992370606,64655,1,deep,537.8725000000001,8427.2325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537922.5,8427232.5,5,7,1,22.54899995803833,64656,1,deep,537.9225,8427.2325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537972.5,8427232.5,5,7,1,22.798000030517578,64657,1,deep,537.9725,8427.2325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
538022.5,8427232.5,5,7,1,23.25299997329712,64658,1,deep,538.0225,8427.2325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
538072.5,8427232.5,5,7,1,23.805000019073486,64659,1,deep,538.0725,8427.2325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
538122.5,8427232.5,5,7,1,25.467368477269222,64660,1,deep,538.1225000000001,8427.2325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
538172.5,8427232.5,5,7,1,25.748809451148624,64661,1,deep,538.1725,8427.2325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535172.5,8427182.5,5,7,1,28.22499942779541,65557,1,deep,535.1725,8427.1825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535222.5,8427182.5,5,7,1,26.900000190734865,65558,1,deep,535.2225,8427.1825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537722.5,8427182.5,5,7,1,27.14473689229865,65608,1,deep,537.7225,8427.1825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537772.5,8427182.5,5,7,1,27.298386942955755,65609,1,deep,537.7725,8427.1825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537822.5,8427182.5,5,7,1,26.594285746983118,65610,1,deep,537.8225,8427.1825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537872.5,8427182.5,5,7,1,26.072413839142897,65611,1,deep,537.8725000000001,8427.1825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537922.5,8427182.5,5,7,1,25.720000076293946,65612,1,deep,537.9225,8427.1825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
537972.5,8427182.5,5,7,1,27.52105261150159,65613,1,deep,537.9725,8427.1825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
538022.5,8427182.5,5,7,1,26.980000305175782,65614,1,deep,538.0225,8427.1825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
538072.5,8427182.5,5,7,1,26.234782675038215,65615,1,deep,538.0725,8427.1825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
538122.5,8427182.5,5,7,1,28.58571379525321,65616,1,deep,538.1225000000001,8427.1825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535172.5,8427132.5,5,7,1,28.012500047683716,66513,1,deep,535.1725,8427.1325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535222.5,8427132.5,5,7,1,21.462500015894573,66514,1,deep,535.2225,8427.1325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
