region,island,depth_bin,sector_id,reef_id,strat,strat_nam,strat_area,strat_sets
SAMOA,tut,MIDD,TUT_NE_OPEN,FOREREEF,5,MID_TUT_NE_OPEN_FOREREEF,3.382924999455415,31
SAMOA,tut,SHAL,TUT_NE_OPEN,FOREREEF,13,SHALLOW_TUT_NE_OPEN_FOREREEF,1.1002749998228771,10
SAMOA,tut,MIDD,TUT_NW_OPEN,FOREREEF,6,MID_TUT_NW_OPEN_FOREREEF,2.036399999672179,19
SAMOA,tut,SHAL,TUT_NW_OPEN,FOREREEF,14,SHALLOW_TUT_NW_OPEN_FOREREEF,0.7305499998823957,7
SAMOA,tut,SHAL,TUT_SE_OPEN,FOREREEF,15,SHALLOW_TUT_SE_OPEN_FOREREEF,0.9785249998424765,9
SAMOA,tut,MIDD,TUT_SE_OPEN,FOREREEF,7,MID_TUT_SE_OPEN_FOREREEF,5.065099999184618,47
SAMOA,tut,MIDD,TUT_AUNUU_B,FOREREEF,2,MID_TUT_AUNUU_B_FOREREEF,0.40879999993419114,4
SAMOA,tut,SHAL,TUT_AUNUU_B,FOREREEF,10,SHALLOW_TUT_AUNUU_B_FOREREEF,0.014249999997706028,1
SAMOA,tut,MIDD,TUT_AUNUU_A,FOREREEF,1,MID_TUT_AUNUU_A_FOREREEF,1.4180249997717256,13
SAMOA,tut,SHAL,TUT_AUNUU_A,FOREREEF,9,SHALLOW_TUT_AUNUU_A_FOREREEF,0.11162499998203054,1
SAMOA,tut,MIDD,TUT_SW_OPEN,FOREREEF,8,MID_TUT_SW_OPEN_FOREREEF,1.9950999996788277,19
SAMOA,tut,SHAL,TUT_SW_OPEN,FOREREEF,16,SHALLOW_TUT_SW_OPEN_FOREREEF,0.9633999998449113,9
SAMOA,tut,SHAL,TUT_FAGALUA,FOREREEF,11,SHALLOW_TUT_FAGALUA_FOREREEF,0.0358999999942208,1
SAMOA,tut,MIDD,TUT_FAGALUA,FOREREEF,3,MID_TUT_FAGALUA_FOREREEF,0.21719999996503503,2
SAMOA,tut,SHAL,TUT_FAGATELE,FOREREEF,12,SHALLOW_TUT_FAGATELE_FOREREEF,0.03422499999449044,1
SAMOA,tut,MIDD,TUT_FAGATELE,FOREREEF,4,MID_TUT_FAGATELE_FOREREEF,0.19449999996868927,2
