strat,strat_nam,sector_id,reef_id,depth_bin
2,DEEP_GUA_EAST_OPEN_FOREREEF,GUA_EAST_OPEN,FOREREEF,DEEP
9,MID_GUA_EAST_OPEN_FOREREEF,GUA_EAST_OPEN,FOREREEF,MIDD
7,DEEP_GUA_WEST_OPEN_FOREREEF,GUA_WEST_OPEN,FOREREEF,DEEP
15,MID_GUA_WEST_OPEN_FOREREEF,GUA_WEST_OPEN,FOREREEF,MIDD
17,SHALLOW_GUA_EAST_OPEN_FOREREEF,GUA_EAST_OPEN,FOREREEF,SHAL
23,SHALLOW_GUA_WEST_OPEN_FOREREEF,GUA_WEST_OPEN,FOREREEF,SHAL
4,DEEP_GUA_PATI_PT_FOREREEF,GUA_PATI_PT,FOREREEF,DEEP
12,MID_GUA_PATI_PT_FOREREEF,GUA_PATI_PT,FOREREEF,MIDD
20,SHALLOW_GUA_PATI_PT_FOREREEF,GUA_PATI_PT,FOREREEF,SHAL
19,SHALLOW_GUA_LAND_FOREREEF,GUA_LAND,FOREREEF,SHAL
11,MID_GUA_LAND_FOREREEF,GUA_LAND,FOREREEF,MIDD
6,DEEP_GUA_TUMON_BAY_FOREREEF,GUA_TUMON_BAY,FOREREEF,DEEP
14,MID_GUA_TUMON_BAY_FOREREEF,GUA_TUMON_BAY,FOREREEF,MIDD
22,SHALLOW_GUA_TUMON_BAY_FOREREEF,GUA_TUMON_BAY,FOREREEF,SHAL
5,DEEP_GUA_PITI_BOMB_FOREREEF,GUA_PITI_BOMB,FOREREEF,DEEP
13,MID_GUA_PITI_BOMB_FOREREEF,GUA_PITI_BOMB,FOREREEF,MIDD
21,SHALLOW_GUA_PITI_BOMB_FOREREEF,GUA_PITI_BOMB,FOREREEF,SHAL
10,MID_GUA_HARBOR_FOREREEF,GUA_HARBOR,FOREREEF,MIDD
3,DEEP_GUA_HARBOR_FOREREEF,GUA_HARBOR,FOREREEF,DEEP
18,SHALLOW_GUA_HARBOR_FOREREEF,GUA_HARBOR,FOREREEF,SHAL
16,SHALLOW_GUA_ACHANG_FOREREEF,GUA_ACHANG,FOREREEF,SHAL
8,MID_GUA_ACHANG_FOREREEF,GUA_ACHANG,FOREREEF,MIDD
1,DEEP_GUA_ACHANG_FOREREEF,GUA_ACHANG,FOREREEF,DEEP
