strat,strat_cells,cell_area,strat_area
7,47196,7.596499865237441e-5,3.585244076397463
15,42558,7.596499865237441e-5,3.2329184126477504
22,16579,7.596499865237441e-5,1.2594237126577155
4,45825,7.596499865237441e-5,3.4810960632450576
12,71032,7.596499865237441e-5,5.395945784275459
20,38614,7.596499865237441e-5,2.9333124579627854
6,133062,7.596499865237441e-5,10.108054650682243
14,127663,7.596499865237441e-5,9.697919622958075
2,67047,7.596499865237441e-5,5.093225264645747
21,44889,7.596499865237441e-5,3.409992824506435
10,111834,7.596499865237441e-5,8.49546965928964
18,56184,7.596499865237441e-5,4.268017484285004
19,36373,7.596499865237441e-5,2.7630748959828146
11,91486,7.596499865237441e-5,6.949733866711125
3,67407,7.596499865237441e-5,5.120572664160602
9,40964,7.596499865237441e-5,3.1118302047958655
1,37664,7.596499865237441e-5,2.8611457092430297
17,21495,7.596499865237441e-5,1.632867646032788
23,40016,7.596499865237441e-5,3.0398153860734145
16,109114,7.596499865237441e-5,8.288844862955182
8,135461,7.596499865237441e-5,10.29029468244929
5,1467,7.596499865237441e-5,0.11144065302303326
13,1216,7.596499865237441e-5,0.09237343836128728
