strat,strat_cells,cell_area,strat_area
2,66255,1.0199999999931424e-4,6.758009999954565
9,100210,1.0199999999931424e-4,10.22141999993128
7,45379,1.0199999999931424e-4,4.628657999968881
15,100963,1.0199999999931424e-4,10.298225999930764
17,40320,1.0199999999931424e-4,4.11263999997235
23,46761,1.0199999999931424e-4,4.769621999967933
4,16860,1.0199999999931424e-4,1.719719999988438
12,15485,1.0199999999931424e-4,1.579469999989381
20,3080,1.0199999999931424e-4,0.31415999999788785
19,969,1.0199999999931424e-4,0.0988379999993355
11,68,1.0199999999931424e-4,0.006935999999953368
6,2671,1.0199999999931424e-4,0.2724419999981683
14,6161,1.0199999999931424e-4,0.6284219999957751
22,1624,1.0199999999931424e-4,0.16564799999888632
5,1993,1.0199999999931424e-4,0.20328599999863328
13,4369,1.0199999999931424e-4,0.44563799999700393
21,2776,1.0199999999931424e-4,0.2831519999980963
10,305,1.0199999999931424e-4,0.031109999999790843
3,119,1.0199999999931424e-4,0.012137999999918395
18,414,1.0199999999931424e-4,0.0422279999997161
16,3202,1.0199999999931424e-4,0.3266039999978042
8,5818,1.0199999999931424e-4,0.5934359999960103
1,1479,1.0199999999931424e-4,0.15085799999898578
