stratum_id,stratum_name,sector_id,reef_id,depth_bin,area_km2,island,region
1,DEEP_HAW_HAMAK_FOREREEF,HAW_HAMAK,FOREREEF,DEEP,17.6,HAW,MHI
5,MID_HAW_HAMAK_FOREREEF,HAW_HAMAK,FOREREEF,MIDD,19.19,HAW,MHI
9,SHALLOW_HAW_HAMAK_FOREREEF,HAW_HAMAK,FOREREEF,SHAL,6.22,HAW,MHI
2,DEEP_HAW_KONA_FOREREEF,HAW_KONA,FOREREEF,DEEP,16.17,HAW,MHI
6,MID_HAW_KONA_FOREREEF,HAW_KONA,FOREREEF,MIDD,23.28,HAW,MHI
10,SHALLOW_HAW_KONA_FOREREEF,HAW_KONA,FOREREEF,SHAL,12.04,HAW,MHI
3,DEEP_HAW_PUNA_FOREREEF,HAW_PUNA,FOREREEF,DEEP,14.29,HAW,MHI
7,MID_HAW_PUNA_FOREREEF,HAW_PUNA,FOREREEF,MIDD,15.8,HAW,MHI
11,SHALLOW_HAW_PUNA_FOREREEF,HAW_PUNA,FOREREEF,SHAL,3.79,HAW,MHI
12,SHALLOW_HAW_SE_FOREREEF,HAW_SE,FOREREEF,SHAL,3.5,HAW,MHI
8,MID_HAW_SE_FOREREEF,HAW_SE,FOREREEF,MIDD,7.2,HAW,MHI
4,DEEP_HAW_SE_FOREREEF,HAW_SE,FOREREEF,DEEP,6.58,HAW,MHI
1,DEEP_KAH_NORTH_FOREREEF,KAH_NORTH,FOREREEF,DEEP,3.98,KAH,MHI
3,MID_KAH_NORTH_FOREREEF,KAH_NORTH,FOREREEF,MIDD,4.12,KAH,MHI
5,SHALLOW_KAH_NORTH_FOREREEF,KAH_NORTH,FOREREEF,SHAL,1.55,KAH,MHI
2,DEEP_KAH_SOUTH_FOREREEF,KAH_SOUTH,FOREREEF,DEEP,4.05,KAH,MHI
4,MID_KAH_SOUTH_FOREREEF,KAH_SOUTH,FOREREEF,MIDD,4.09,KAH,MHI
6,SHALLOW_KAH_SOUTH_FOREREEF,KAH_SOUTH,FOREREEF,SHAL,0.84,KAH,MHI
1,DEEP_KAL_FOREREEF,KAL,FOREREEF,DEEP,0.47,KAL,MHI
2,MID_KAL_FOREREEF,KAL,FOREREEF,MIDD,0.38,KAL,MHI
