stratum_id,stratum_name,sector_id,reef_id,depth_bin,area_km2,island,region
1,DEEP_GUA_EAST_OPEN_FOREREEF,GUA_EAST_OPEN,FOREREEF,DEEP,6.92,GUA,S.MARIAN
5,MID_GUA_EAST_OPEN_FOREREEF,GUA_EAST_OPEN,FOREREEF,MIDD,10.1,GUA,S.MARIAN
4,DEEP_GUA_WEST_OPEN_FOREREEF,GUA_WEST_OPEN,FOREREEF,DEEP,4.4,GUA,S.MARIAN
9,MID_GUA_WEST_OPEN_FOREREEF,GUA_WEST_OPEN,FOREREEF,MIDD,10.28,GUA,S.MARIAN
10,SHALLOW_GUA_EAST_OPEN_FOREREEF,GUA_EAST_OPEN,FOREREEF,SHAL,3.67,GUA,S.MARIAN
14,SHALLOW_GUA_WEST_OPEN_FOREREEF,GUA_WEST_OPEN,FOREREEF,SHAL,4.81,GUA,S.MARIAN
3,DEEP_GUA_MP_FOREREEF,GUA_MP,FOREREEF,DEEP,2.45,GUA,S.MARIAN
8,MID_GUA_MP_FOREREEF,GUA_MP,FOREREEF,MIDD,3.17,GUA,S.MARIAN
13,SHALLOW_GUA_MP_FOREREEF,GUA_MP,FOREREEF,SHAL,1.08,GUA,S.MARIAN
12,SHALLOW_GUA_LAND_FOREREEF,GUA_LAND,FOREREEF,SHAL,0.03,GUA,S.MARIAN
7,MID_GUA_LAND_FOREREEF,GUA_LAND,FOREREEF,MIDD,0.01,GUA,S.MARIAN
6,MID_GUA_HARBOR_FOREREEF,GUA_HARBOR,FOREREEF,MIDD,0.03,GUA,S.MARIAN
2,DEEP_GUA_HARBOR_FOREREEF,GUA_HARBOR,FOREREEF,DEEP,0.02,GUA,S.MARIAN
11,SHALLOW_GUA_HARBOR_FOREREEF,GUA_HARBOR,FOREREEF,SHAL,0.04,GUA,S.MARIAN
1,DEEP_ROT_SECTOR_FOREREEF,ROT_SECTOR,FOREREEF,DEEP,2.93,ROT,S.MARIAN
2,MID_ROT_SECTOR_FOREREEF,ROT_SECTOR,FOREREEF,MIDD,6.01,ROT,S.MARIAN
3,SHALLOW_ROT_SECTOR_FOREREEF,ROT_SECTOR,FOREREEF,SHAL,1.67,ROT,S.MARIAN
1,DEEP_SAI_SECTOR_FOREREEF,SAI_SECTOR,FOREREEF,DEEP,17.95,SAI,S.MARIAN
2,MID_SAI_SECTOR_FOREREEF,SAI_SECTOR,FOREREEF,MIDD,12.16,SAI,S.MARIAN
3,SHALLOW_SAI_SECTOR_FOREREEF,SAI_SECTOR,FOREREEF,SHAL,3.44,SAI,S.MARIAN
1,DEEP_TIN_SECTOR_FOREREEF,TIN_SECTOR,FOREREEF,DEEP,6.06,TIN,S.MARIAN
2,MID_TIN_SECTOR_FOREREEF,TIN_SECTOR,FOREREEF,MIDD,6.99,TIN,S.MARIAN
3,SHALLOW_TIN_SECTOR_FOREREEF,TIN_SECTOR,FOREREEF,SHAL,1.44,TIN,S.MARIAN
1,DEEP_AGU_SECTOR_FOREREEF,AGU_SECTOR,FOREREEF,DEEP,3.01,AGU,S.MARIAN
2,MID_AGU_SECTOR_FOREREEF,AGU_SECTOR,FOREREEF,MIDD,1.9,AGU,S.MARIAN
3,SHALLOW_AGU_SECTOR_FOREREEF,AGU_SECTOR,FOREREEF,SHAL,0.18,AGU,S.MARIAN
