stratum,stratum_name,sector_id,reef_id,depth_bin,area_km2
1,DEEP_ROT_SECTOR_FOREREEF,ROT_SECTOR,FOREREEF,DEEP,2.93
2,MID_ROT_SECTOR_FOREREEF,ROT_SECTOR,FOREREEF,MIDD,6.01
3,SHALLOW_ROT_SECTOR_FOREREEF,ROT_SECTOR,FOREREEF,SHAL,1.66
