stratum,stratum_name,sector_id,reef_id,depth_bin,area_km2
1,DEEP_ZEA_SECTOR_FOREREEF,ZEA_SECTOR,FOREREEF,DEEP,0.03
2,MID_ZEA_SECTOR_FOREREEF,ZEA_SECTOR,FOREREEF,MIDD,0
