stratum,stratum_name,sector_id,reef_id,depth_bin,area_km2
1,DEEP_HOW_SECTOR_FOREREEF,HOW_SECTOR,FOREREEF,DEEP,0.17
2,MID_HOW_SECTOR_FOREREEF,HOW_SECTOR,FOREREEF,MIDD,0.45
3,SHALLOW_HOW_SECTOR_FOREREEF,HOW_SECTOR,FOREREEF,SHAL,0.47
