stratum,stratum_name,sector_id,reef_id,depth_bin,area_km2
7,DEEP_MAI_NW_FOREREEF,MAI_NW,FOREREEF,DEEP,3.59
15,MID_MAI_NW_FOREREEF,MAI_NW,FOREREEF,MIDD,3.23
22,SHALLOW_MAI_NW_FOREREEF,MAI_NW,FOREREEF,SHAL,1.26
4,DEEP_MAI_LAHAINA_FOREREEF,MAI_LAHAINA,FOREREEF,DEEP,3.48
12,MID_MAI_LAHAINA_FOREREEF,MAI_LAHAINA,FOREREEF,MIDD,5.4
20,SHALLOW_MAI_LAHAINA_FOREREEF,MAI_LAHAINA,FOREREEF,SHAL,2.93
6,DEEP_MAI_NE_FOREREEF,MAI_NE,FOREREEF,DEEP,10.11
14,MID_MAI_NE_FOREREEF,MAI_NE,FOREREEF,MIDD,9.7
2,DEEP_MAI_KAHULUI_FOREREEF,MAI_KAHULUI,FOREREEF,DEEP,5.09
21,SHALLOW_MAI_NE_FOREREEF,MAI_NE,FOREREEF,SHAL,3.41
10,MID_MAI_KAHULUI_FOREREEF,MAI_KAHULUI,FOREREEF,MIDD,8.5
18,SHALLOW_MAI_KAHULUI_FOREREEF,MAI_KAHULUI,FOREREEF,SHAL,4.27
19,SHALLOW_MAI_KIHEI_FOREREEF,MAI_KIHEI,FOREREEF,SHAL,2.76
11,MID_MAI_KIHEI_FOREREEF,MAI_KIHEI,FOREREEF,MIDD,6.95
3,DEEP_MAI_KIHEI_FOREREEF,MAI_KIHEI,FOREREEF,DEEP,5.12
9,MID_MAI_HANA_FOREREEF,MAI_HANA,FOREREEF,MIDD,3.11
1,DEEP_MAI_HANA_FOREREEF,MAI_HANA,FOREREEF,DEEP,2.86
17,SHALLOW_MAI_HANA_FOREREEF,MAI_HANA,FOREREEF,SHAL,1.63
23,SHALLOW_MAI_SE_FOREREEF,MAI_SE,FOREREEF,SHAL,3.04
16,MID_MAI_SE_FOREREEF,MAI_SE,FOREREEF,MIDD,8.29
8,DEEP_MAI_SE_FOREREEF,MAI_SE,FOREREEF,DEEP,10.29
5,DEEP_MAI_MOLOKINI_FOREREEF,MAI_MOLOKINI,FOREREEF,DEEP,0.11
13,MID_MAI_MOLOKINI_FOREREEF,MAI_MOLOKINI,FOREREEF,MIDD,0.09
