stratum,stratum_name,sector_id,reef_id,depth_bin,area_km2
1,DEEP_GUG_SECTOR_FOREREEF,GUG_SECTOR,FOREREEF,DEEP,0.68
2,MID_GUG_SECTOR_FOREREEF,GUG_SECTOR,FOREREEF,MIDD,0.9
3,SHALLOW_GUG_SECTOR_FOREREEF,GUG_SECTOR,FOREREEF,SHAL,0.13
