stratum,stratum_name,sector_id,reef_id,depth_bin,area_km2
1,DEEP_LIS_SECTOR_FOREREEF,LIS_SECTOR,FOREREEF,DEEP,203.86
2,MID_LIS_SECTOR_FOREREEF,LIS_SECTOR,FOREREEF,MIDD,74.05
3,SHALLOW_LIS_SECTOR_FOREREEF,LIS_SECTOR,FOREREEF,SHAL,19.42
