"SITE","ISLAND"
"SAI-2073","Saipan"
"SAI-2074","Saipan"
"SAI-2075","Saipan"
"SAI-2076","Saipan"
"SAI-2077","Saipan"
"SAI-2078","Saipan"
"SAI-2079","Saipan"
"SAI-2080","Saipan"
"SAI-2081","Saipan"
"SAI-2082","Saipan"
"SAI-2083","Saipan"
"SAI-2084","Saipan"
"SAI-2085","Saipan"
"SAI-2086","Saipan"
"SAI-2087","Saipan"
"SAI-2088","Saipan"
"SAI-2089","Saipan"
"SAI-2090","Saipan"
"SAI-2091","Saipan"
"SAI-2092","Saipan"
"SAI-2093","Saipan"
"SAI-2094","Saipan"
"SAI-2095","Saipan"
"SAI-2096","Saipan"
"SAI-2097","Saipan"
"SAI-2098","Saipan"
"SAI-2099","Saipan"
"SAI-2100","Saipan"
"SAI-2101","Saipan"
"SAI-2102","Saipan"
"SAI-2103","Saipan"
"SAI-2104","Saipan"
"SAI-2105","Saipan"
"SAI-2106","Saipan"
"SAI-2107","Saipan"
"SAI-2108","Saipan"
"SAI-2109","Saipan"
"SAI-2110","Saipan"
"SAI-2111","Saipan"
"SAI-2112","Saipan"
"SAI-2113","Saipan"
"TIN-1998","Tinian"
"TIN-1999","Tinian"
"TIN-2000","Tinian"
"TIN-2001","Tinian"
"TIN-2002","Tinian"
"TIN-2003","Tinian"
"TIN-2004","Tinian"
"TIN-2005","Tinian"
"TIN-2006","Tinian"
"TIN-2007","Tinian"
"TIN-2008","Tinian"
"TIN-2009","Tinian"
"TIN-2010","Tinian"
"TIN-2011","Tinian"
"TIN-2012","Tinian"
"TIN-2013","Tinian"
"TIN-2014","Tinian"
"TIN-2015","Tinian"
"TIN-2016","Tinian"
"TIN-2017","Tinian"
"TIN-2018","Tinian"
"TIN-2019","Tinian"
"TIN-2020","Tinian"
"TIN-2021","Tinian"
"TIN-2022","Tinian"
"TIN-2023","Tinian"
"TIN-2024","Tinian"
"TIN-2025","Tinian"
"TIN-2026","Tinian"
"TIN-2027","Tinian"
"TIN-2028","Tinian"
"TIN-2029","Tinian"
"TIN-2030","Tinian"
"TIN-2031","Tinian"
"TIN-2032","Tinian"
"TIN-2033","Tinian"
"TIN-2034","Tinian"
"TIN-2035","Tinian"
"TIN-2036","Tinian"
"TIN-2037","Tinian"
"TIN-2038","Tinian"
"TIN-2039","Tinian"
"TIN-2040","Tinian"
"TIN-2041","Tinian"
"TIN-2042","Tinian"
"TIN-2043","Tinian"
"TIN-2044","Tinian"
"TIN-2045","Tinian"
"TIN-2046","Tinian"
"TIN-2047","Tinian"
"TIN-2048","Tinian"
"TIN-2049","Tinian"
"TIN-2050","Tinian"
"TIN-2051","Tinian"
"TIN-2052","Tinian"
"TIN-2053","Tinian"
"TIN-2054","Tinian"
"TIN-2055","Tinian"
"TIN-2056","Tinian"
"TIN-2057","Tinian"
"TIN-2058","Tinian"
"TIN-2059","Tinian"
"TIN-2060","Tinian"
"TIN-2061","Tinian"
"TIN-2062","Tinian"
"TIN-2063","Tinian"
"TIN-2064","Tinian"
"TIN-2065","Tinian"
"TIN-2066","Tinian"
"TIN-2067","Tinian"
"TIN-2068","Tinian"
"TIN-2069","Tinian"
"TIN-2070","Tinian"
"TIN-2071","Tinian"
"TIN-2072","Tinian"
"TIN-2073","Tinian"
"TIN-2074","Tinian"
"TIN-2075","Tinian"
"TIN-2076","Tinian"
