"SITE","ISLAND"
"GUA-2351","Guam"
"GUA-2352","Guam"
"GUA-2353","Guam"
"GUA-2354","Guam"
"GUA-2355","Guam"
"GUA-2356","Guam"
"GUA-2357","Guam"
"GUA-2358","Guam"
"GUA-2359","Guam"
"GUA-2360","Guam"
"GUA-2361","Guam"
"GUA-2362","Guam"
"GUA-2363","Guam"
"GUA-2364","Guam"
"GUA-2365","Guam"
"GUA-2366","Guam"
"GUA-2367","Guam"
"GUA-2368","Guam"
"GUA-2369","Guam"
"GUA-2370","Guam"
"GUA-2371","Guam"
"GUA-2372","Guam"
"GUA-2373","Guam"
"GUA-2374","Guam"
"GUA-2375","Guam"
"GUA-2376","Guam"
"GUA-2377","Guam"
"GUA-2378","Guam"
"GUA-2379","Guam"
"GUA-2380","Guam"
"GUA-2381","Guam"
"GUA-2382","Guam"
"GUA-2383","Guam"
"GUA-2384","Guam"
"GUA-2385","Guam"
"GUA-2386","Guam"
"GUA-2387","Guam"
"GUA-2388","Guam"
"GUA-2389","Guam"
"GUA-2390","Guam"
"GUA-2391","Guam"
"GUA-2392","Guam"
"GUA-2393","Guam"
"GUA-2394","Guam"
"GUA-2395","Guam"
"GUA-2396","Guam"
"GUA-2397","Guam"
"GUA-2398","Guam"
"GUA-2399","Guam"
"GUA-2400","Guam"
"GUA-2401","Guam"
"GUA-2402","Guam"
"GUA-2403","Guam"
"GUA-2404","Guam"
"GUA-2405","Guam"
"GUA-2406","Guam"
"GUA-2407","Guam"
"GUA-2408","Guam"
"GUA-2409","Guam"
"GUA-2410","Guam"
"GUA-2411","Guam"
"GUA-2412","Guam"
"GUA-2413","Guam"
"GUA-2414","Guam"
"GUA-2415","Guam"
"GUA-2416","Guam"
"GUA-2417","Guam"
"GUA-2418","Guam"
"GUA-2419","Guam"
"GUA-2420","Guam"
"GUA-2421","Guam"
"GUA-2422","Guam"
"GUA-2423","Guam"
"GUA-2424","Guam"
"GUA-2425","Guam"
"GUA-2426","Guam"
"GUA-2427","Guam"
"GUA-2428","Guam"
"GUA-2429","Guam"
"GUA-2430","Guam"
"GUA-2431","Guam"
"GUA-2432","Guam"
"GUA-2433","Guam"
"GUA-2434","Guam"
"GUA-2435","Guam"
"GUA-2436","Guam"
"GUA-2437","Guam"
"GUA-2438","Guam"
"GUA-2439","Guam"
"GUA-2440","Guam"
"GUA-2441","Guam"
"GUA-2442","Guam"
"GUA-2443","Guam"
"GUA-2444","Guam"
"GUA-2445","Guam"
"GUA-2446","Guam"
"GUA-2447","Guam"
"GUA-2448","Guam"
"GUA-2449","Guam"
"GUA-2450","Guam"
"GUA-2451","Guam"
"GUA-2452","Guam"
"GUA-2453","Guam"
"GUA-2454","Guam"
"GUA-2455","Guam"
"GUA-2456","Guam"
"GUA-2457","Guam"
"GUA-2458","Guam"
"GUA-2459","Guam"
"GUA-2460","Guam"
"GUA-2461","Guam"
"GUA-2462","Guam"
"GUA-2463","Guam"
"GUA-2464","Guam"
"GUA-2465","Guam"
"GUA-2466","Guam"
"GUA-2467","Guam"
"GUA-2468","Guam"
"GUA-2469","Guam"
"GUA-2470","Guam"
"GUA-2471","Guam"
"GUA-2472","Guam"
"GUA-2473","Guam"
"GUA-2474","Guam"
"GUA-2475","Guam"
"GUA-2476","Guam"
"GUA-2477","Guam"
"GUA-2478","Guam"
"GUA-2479","Guam"
"GUA-2480","Guam"
"GUA-2481","Guam"
"GUA-2482","Guam"
"GUA-2483","Guam"
"GUA-2484","Guam"
"GUA-2485","Guam"
"GUA-2486","Guam"
"GUA-2487","Guam"
"GUA-2488","Guam"
"GUA-2489","Guam"
"GUA-2490","Guam"
"GUA-2491","Guam"
"GUA-2492","Guam"
"GUA-2493","Guam"
"GUA-2494","Guam"
"GUA-2495","Guam"
"GUA-2496","Guam"
"GUA-2497","Guam"
"GUA-2498","Guam"
"GUA-2499","Guam"
"GUA-2500","Guam"
"GUA-2501","Guam"
"GUA-2502","Guam"
"GUA-2503","Guam"
"GUA-2504","Guam"
"GUA-2505","Guam"
"GUA-2506","Guam"
"GUA-2507","Guam"
"GUA-2508","Guam"
"GUA-2509","Guam"
"GUA-2510","Guam"
"GUA-2511","Guam"
"GUA-2512","Guam"
"GUA-2513","Guam"
"GUA-2514","Guam"
"GUA-2515","Guam"
"GUA-2516","Guam"
"GUA-2517","Guam"
"GUA-2518","Guam"
"GUA-2519","Guam"
"GUA-2520","Guam"
"GUA-2521","Guam"
"GUA-2522","Guam"
"GUA-2523","Guam"
"GUA-2524","Guam"
"GUA-2525","Guam"
"GUA-2526","Guam"
"GUA-2527","Guam"
"GUA-2528","Guam"
"GUA-2529","Guam"
"GUA-2530","Guam"
"GUA-2531","Guam"
"GUA-2532","Guam"
"GUA-2533","Guam"
"GUA-2534","Guam"
"GUA-2535","Guam"
"GUA-2536","Guam"
"GUA-2537","Guam"
"GUA-2538","Guam"
"GUA-2539","Guam"
"GUA-2540","Guam"
"GUA-2542","Guam"
"GUA-2543","Guam"
"GUA-2544","Guam"
"GUA-2546","Guam"
"GUA-2547","Guam"
"GUA-2548","Guam"
"GUA-2550","Guam"
"GUA-2551","Guam"
"GUA-2552","Guam"
"GUA-2553","Guam"
"GUA-2554","Guam"
"GUA-2555","Guam"
"GUA-2556","Guam"
"GUA-2557","Guam"
"GUA-2558","Guam"
"GUA-2559","Guam"
"GUA-2561","Guam"
"GUA-2563","Guam"
"GUA-2565","Guam"
"GUA-2566","Guam"
"GUA-2568","Guam"
"GUA-2571","Guam"
"GUA-2573","Guam"
"GUA-2574","Guam"
"GUA-2578","Guam"
"GUA-2579","Guam"
"GUA-2581","Guam"
"GUA-2582","Guam"
"GUA-2583","Guam"
"GUA-2585","Guam"
"GUA-2586","Guam"
"GUA-2587","Guam"
"GUA-2588","Guam"
"GUA-2589","Guam"
"GUA-2590","Guam"
"GUA-2591","Guam"
"GUA-2592","Guam"
"GUA-2593","Guam"
"GUA-2594","Guam"
"GUA-2595","Guam"
"GUA-2597","Guam"
"GUA-2602","Guam"
"GUA-2603","Guam"
"GUA-2604","Guam"
"GUA-2605","Guam"
"GUA-2608","Guam"
"GUA-2609","Guam"
"GUA-2610","Guam"
"GUA-2650","Guam"
"GUA-2653","Guam"
"GUA-2662","Guam"
"GUA-2672","Guam"
"GUA-2677","Guam"
"GUA-2681","Guam"
"GUA-2684","Guam"
"GUA-2688","Guam"
"GUA-2690","Guam"
"GUA-2692","Guam"
"GUA-2696","Guam"
"GUA-2699","Guam"
"GUA-2701","Guam"
"GUA-2702","Guam"
"GUA-2716","Guam"
"GUA-2717","Guam"
"GUA-2720","Guam"
"GUA-2723","Guam"
"GUA-2726","Guam"
"GUA-2727","Guam"
"GUA-2728","Guam"
"GUA-2730","Guam"
"GUA-2734","Guam"
"GUA-2735","Guam"
"GUA-2737","Guam"
"GUA-2740","Guam"
"GUA-2741","Guam"
"GUA-2744","Guam"
"GUA-2745","Guam"
"GUA-2751","Guam"
"GUA-2758","Guam"
"GUA-2762","Guam"
"GUA-2767","Guam"
"GUA-2768","Guam"
"GUA-2769","Guam"
"GUA-2774","Guam"
"GUA-2777","Guam"
"GUA-2780","Guam"
"GUA-2781","Guam"
"GUA-2783","Guam"
"GUA-2784","Guam"
"GUA-8000","Guam"
"GUA-8001","Guam"
"GUA-8002","Guam"
"GUA-8003","Guam"
"GUA-8004","Guam"
"GUA-8005","Guam"
"GUA-8006","Guam"
"GUA-8007","Guam"
"GUA-8008","Guam"
"GUA-8009","Guam"
"GUA-8010","Guam"
"GUA-9999","Guam"
"MAU-1000","Maug"
"MAU-1007","Maug"
"MAU-1012","Maug"
"MAU-1013","Maug"
"MAU-1014","Maug"
"MAU-1015","Maug"
"MAU-1016","Maug"
"MAU-1017","Maug"
"MAU-1018","Maug"
"MAU-1019","Maug"
"MAU-1020","Maug"
"MAU-1021","Maug"
"MAU-1022","Maug"
"MAU-1023","Maug"
"MAU-1024","Maug"
"MAU-1025","Maug"
"MAU-1026","Maug"
"MAU-1027","Maug"
"MAU-1028","Maug"
"MAU-1029","Maug"
"MAU-1030","Maug"
"MAU-1031","Maug"
"MAU-1032","Maug"
"MAU-1033","Maug"
"MAU-1034","Maug"
"MAU-1035","Maug"
"MAU-1036","Maug"
"MAU-1037","Maug"
"MAU-1038","Maug"
"MAU-1039","Maug"
"MAU-1040","Maug"
"MAU-1041","Maug"
"MAU-1042","Maug"
"MAU-1043","Maug"
"MAU-1044","Maug"
"MAU-1045","Maug"
"MAU-1046","Maug"
"MAU-1047","Maug"
"MAU-1048","Maug"
"MAU-1049","Maug"
"MAU-1050","Maug"
"MAU-1051","Maug"
"MAU-1052","Maug"
"MAU-1053","Maug"
"MAU-1054","Maug"
"MAU-1055","Maug"
"MAU-1056","Maug"
"MAU-1057","Maug"
"MAU-1058","Maug"
"MAU-1059","Maug"
"MAU-1060","Maug"
"MAU-1061","Maug"
"MAU-1065","Maug"
"MAU-1067","Maug"
"MAU-1074","Maug"
"MAU-1075","Maug"
"MAU-1077","Maug"
"MAU-1080","Maug"
"MAU-1081","Maug"
"MAU-1083","Maug"
"MAU-1089","Maug"
"MAU-1095","Maug"
"MAU-1097","Maug"
"MAU-1099","Maug"
"MAU-1100","Maug"
"MAU-1103","Maug"
"MAU-1105","Maug"
"MAU-1108","Maug"
"MAU-1112","Maug"
"MAU-1116","Maug"
"MAU-1118","Maug"
"MAU-1119","Maug"
"MAU-1122","Maug"
"MAU-1126","Maug"
"MAU-1129","Maug"
"MAU-1200","Maug"
"MAU-1203","Maug"
"MAU-1207","Maug"
"MAU-1213","Maug"
"MAU-1215","Maug"
"MAU-1222","Maug"
"MAU-1223","Maug"
"MAU-1225","Maug"
"MAU-1226","Maug"
"MAU-1233","Maug"
"MAU-1239","Maug"
"MAU-1242","Maug"
"MAU-1243","Maug"
"MAU-1245","Maug"
"MAU-1246","Maug"
"MAU-1247","Maug"
"MAU-1248","Maug"
"MAU-1257","Maug"
"MAU-1258","Maug"
"MAU-1262","Maug"
"MAU-1263","Maug"
"MAU-1265","Maug"
"MAU-1268","Maug"
"MAU-1273","Maug"
"PAG-1006","Pagan"
"PAG-1019","Pagan"
"PAG-1025","Pagan"
"PAG-1037","Pagan"
"PAG-1046","Pagan"
"PAG-1065","Pagan"
"PAG-1066","Pagan"
"PAG-1067","Pagan"
"PAG-1068","Pagan"
"PAG-1069","Pagan"
"PAG-1070","Pagan"
"PAG-1071","Pagan"
"PAG-1072","Pagan"
"PAG-1073","Pagan"
"PAG-1074","Pagan"
"PAG-1075","Pagan"
"PAG-1076","Pagan"
"PAG-1077","Pagan"
"PAG-1078","Pagan"
"PAG-1079","Pagan"
"PAG-1080","Pagan"
"PAG-1081","Pagan"
"PAG-1082","Pagan"
"PAG-1083","Pagan"
"PAG-1084","Pagan"
"PAG-1085","Pagan"
"PAG-1086","Pagan"
"PAG-1087","Pagan"
"PAG-1088","Pagan"
"PAG-1089","Pagan"
"PAG-1090","Pagan"
"PAG-1091","Pagan"
"PAG-1092","Pagan"
"PAG-1093","Pagan"
"PAG-1094","Pagan"
"PAG-1095","Pagan"
"PAG-1096","Pagan"
"PAG-1097","Pagan"
"PAG-1098","Pagan"
"PAG-1099","Pagan"
"PAG-1100","Pagan"
"PAG-1101","Pagan"
"PAG-1102","Pagan"
"PAG-1103","Pagan"
"PAG-1104","Pagan"
"PAG-1105","Pagan"
"PAG-1106","Pagan"
"PAG-1107","Pagan"
"PAG-1108","Pagan"
"PAG-1109","Pagan"
"PAG-1110","Pagan"
"PAG-1111","Pagan"
"PAG-1112","Pagan"
"PAG-1113","Pagan"
"PAG-1114","Pagan"
"PAG-1115","Pagan"
"PAG-1116","Pagan"
"PAG-1117","Pagan"
"PAG-1118","Pagan"
"PAG-1119","Pagan"
"PAG-1120","Pagan"
"PAG-1121","Pagan"
"PAG-1122","Pagan"
"PAG-1123","Pagan"
"PAG-1124","Pagan"
"PAG-1125","Pagan"
"PAG-1126","Pagan"
"PAG-1127","Pagan"
"PAG-1128","Pagan"
"PAG-1129","Pagan"
"PAG-1130","Pagan"
"PAG-1131","Pagan"
"PAG-1132","Pagan"
"PAG-1133","Pagan"
"PAG-1134","Pagan"
"PAG-1135","Pagan"
"PAG-1136","Pagan"
"PAG-1137","Pagan"
"PAG-1138","Pagan"
"PAG-1139","Pagan"
"PAG-1140","Pagan"
"PAG-1141","Pagan"
"PAG-1142","Pagan"
"PAG-1143","Pagan"
"PAG-1144","Pagan"
"PAG-1145","Pagan"
"PAG-1146","Pagan"
"PAG-1147","Pagan"
"PAG-1148","Pagan"
"PAG-1149","Pagan"
"PAG-1150","Pagan"
"PAG-1151","Pagan"
"PAG-1152","Pagan"
"PAG-1153","Pagan"
"PAG-1154","Pagan"
"PAG-1155","Pagan"
"PAG-1156","Pagan"
"PAG-1157","Pagan"
"PAG-1158","Pagan"
"PAG-1159","Pagan"
"PAG-1160","Pagan"
"PAG-1161","Pagan"
"PAG-1162","Pagan"
"PAG-1163","Pagan"
"PAG-1164","Pagan"
"PAG-1165","Pagan"
"PAG-1166","Pagan"
"PAG-1167","Pagan"
"PAG-1168","Pagan"
"PAG-1169","Pagan"
"PAG-1170","Pagan"
"PAG-1171","Pagan"
"PAG-1172","Pagan"
"PAG-1251","Pagan"
"PAG-1253","Pagan"
"PAG-1254","Pagan"
"PAG-1258","Pagan"
"PAG-1260","Pagan"
"PAG-1266","Pagan"
"PAG-1272","Pagan"
"PAG-1273","Pagan"
"PAG-1274","Pagan"
"PAG-1278","Pagan"
"PAG-1280","Pagan"
"PAG-1286","Pagan"
"PAG-1288","Pagan"
"PAG-1295","Pagan"
"PAG-1297","Pagan"
"PAG-1298","Pagan"
"PAG-1301","Pagan"
"PAG-1305","Pagan"
"PAG-1309","Pagan"
"PAG-1313","Pagan"
"PAG-1316","Pagan"
"PAG-1323","Pagan"
"PAG-1324","Pagan"
"PAG-1326","Pagan"
"ROT-1999","Rota"
"ROT-2000","Rota"
"ROT-2001","Rota"
"ROT-2002","Rota"
"ROT-2003","Rota"
"ROT-2004","Rota"
"ROT-2005","Rota"
"ROT-2006","Rota"
"ROT-2007","Rota"
"ROT-2008","Rota"
"ROT-2009","Rota"
"ROT-2010","Rota"
"ROT-2011","Rota"
"ROT-2012","Rota"
"ROT-2013","Rota"
"ROT-2014","Rota"
"ROT-2015","Rota"
"ROT-2016","Rota"
"ROT-2017","Rota"
"ROT-2018","Rota"
"ROT-2019","Rota"
"ROT-2020","Rota"
"ROT-2021","Rota"
"ROT-2022","Rota"
"ROT-2023","Rota"
"ROT-2024","Rota"
"ROT-2025","Rota"
"ROT-2026","Rota"
"ROT-2027","Rota"
"ROT-2028","Rota"
"ROT-2029","Rota"
"ROT-2030","Rota"
"ROT-2031","Rota"
"ROT-2032","Rota"
"ROT-2033","Rota"
"ROT-2034","Rota"
"ROT-2035","Rota"
"ROT-2036","Rota"
"ROT-2037","Rota"
"ROT-2038","Rota"
"ROT-2039","Rota"
"ROT-2040","Rota"
"ROT-2041","Rota"
"ROT-2042","Rota"
"ROT-2043","Rota"
"ROT-2044","Rota"
"ROT-2045","Rota"
"ROT-2046","Rota"
"ROT-2047","Rota"
"ROT-2048","Rota"
"ROT-2049","Rota"
"ROT-2050","Rota"
"ROT-2051","Rota"
"ROT-2052","Rota"
"ROT-2053","Rota"
"ROT-2054","Rota"
"ROT-2055","Rota"
"ROT-2056","Rota"
"ROT-2057","Rota"
"ROT-2058","Rota"
"ROT-2059","Rota"
"ROT-2060","Rota"
"ROT-2061","Rota"
"ROT-2062","Rota"
"ROT-2063","Rota"
"ROT-2064","Rota"
"ROT-2065","Rota"
"ROT-2066","Rota"
"ROT-2067","Rota"
"ROT-2068","Rota"
"ROT-2069","Rota"
"ROT-2070","Rota"
"ROT-2071","Rota"
"ROT-2072","Rota"
