Island,Island_Code,UTM_Zone
Agrihan,AGR,55
Aguijan,AGU,55
Alamagan,ALA,55
Anatahan,ANA,55
Arakane,ARA,54
Asuncion,ASC,55
Baker,BAK,1
Farallon de Pajaros,FDP,55
French Frigate,FFS,3
Gardner,GAR,2
Guam,GUA,55
Guguan,GUG,55
Hawaii,HAW,5
Howland,HOW,1
Jarvis,JAR,4
Johnston,JOH,2
Kahoolawe,KAH,4
Kanton,K,NA
Kauai,KAU,4
Kaula,KAL,4
Kingman,KIN,3
Kure,KUR,1
Lanai,LAN,4
Laysan,LAY,2
Lehua,LEH,4
Lisianski,LIS,2
Maro,MAR,2
Maug,MAU,55
Maui,MAI,4
Midway,MID,1
Molokai,MOL,4
Molokini,MOI,4
Necker,NEC,3
New Britain,KIM,56
Nihoa,NIH,4
Niihau,NII,4
Nikumaroro,N,NA
Oahu,OAH,4
Ofu & Olosega,OFU,2
Ofu & Olosega,OLO,2
Pagan,PAG,55
Palmyra,FR,3
Palmyra,PAL,3
Palmyra,RT,3
Pathfinder,PAT,54
Pearl & Hermes,PHR,1
Philippines,ART,51
Philippines,BAA,51
Philippines,BAO,51
Philippines,KOA,51
Philippines,TWI,51
Rose,ROS,2
Rota,ROT,55
Saipan,SAI,55
Santa Rosa,SRR,55
Sarigan,SAR,55
South Bank,SOB,2
Stingray,STI,54
Supply,SUP,55
Swains,SWA,2
Tau,TAU,2
Timor Leste,ATA,51
Timor Leste,BAU,52
Timor Leste,BOB,51
Timor Leste,DIL,51
Timor Leste,LAU,52
Timor Leste,LIQ,51
Timor Leste,MAF,51
Timor Leste,MAN,51
Timor Leste,OEC,51
Timor Leste,VIL,51
Tinian,TIN,55
Tutuila,TUT,2
Wake,WAK,58
Zealandia,ZEA,55
