ISLAND,Island_Code,SECTOR,sector_id,STRATUM,FISH SITES,SFM SITES,MAP SITES,TOTAL MAP SITES,FISH MAX SITES,CHG_SITES
Oahu,oah,OAH_N,oah_north,FRF_M,3,4,4,12,DONE,
Oahu,oah,OAH_N,oah_north,FRF_S,3,2,3,9,DONE,
Oahu,oah,OAH_NE,oah_ne,FRF_D,3,3,3,9,DONE,
Oahu,oah,OAH_NE,oah_ne,FRF_M,5,4,5,15,DONE,
Oahu,oah,OAH_NE,oah_ne,FRF_S,5,23,23,46,DONE,
Oahu,oah,OAH_S,oah_south,FRF_D,6,2,6,18,DONE,
Oahu,oah,OAH_S,oah_south,FRF_M,9,8,9,27,DONE,
Oahu,oah,OAH_S,oah_south,FRF_S,10,12,12,24,DONE,
French Frigate Shoals,ffs,FFS,ffs_sector,FRF_D,6,2,6,18,15,
French Frigate Shoals,ffs,FFS,ffs_sector,FRF_M,10,9,10,20,30,
French Frigate Shoals,ffs,FFS,ffs_sector,FRF_S,5,2,5,15,9,
French Frigate Shoals,ffs,FFS,ffs_sector,LAG_M,5,8,8,24,7,
French Frigate Shoals,ffs,FFS,ffs_sector,LAG_S,5,3,5,15,3,
French Frigate Shoals,ffs,FFS,ffs_sector,PRS_D,8,9,9,27,30,
French Frigate Shoals,ffs,FFS,ffs_sector,PRS_M,8,5,8,24,4,
Kure Atoll,kur,KUR,kur_sector,BRF_S,,,,,4,
Kure Atoll,kur,KUR,kur_sector,FRF_D,10,22,22,44,10,
Kure Atoll,kur,KUR,kur_sector,FRF_M,9,8,9,27,26,
Kure Atoll,kur,KUR,kur_sector,FRF_S,5,2,5,15,10,
Kure Atoll,kur,KUR,kur_sector,LAG_M,3,,3,9,2,
Kure Atoll,kur,KUR,kur_sector,LAG_S,3,,3,9,4,
Laysan,lay,LAY,lay_sector,FRF_D,,,,,8,
Laysan,lay,LAY,lay_sector,FRF_M,,,,,4,
Laysan,lay,LAY,lay_sector,FRF_S,,,,,2,
Lisianski Island,lis,LIS,lis_sector,FRF_D,12,18,18,36,41,
Lisianski Island,lis,LIS,lis_sector,FRF_M,14,12,14,28,13,
