ISLAND,ISLAND_CODE,SECTOR_ID,REEF_ID,DEPTH_BIN,AREA_KM2
GUAM,GUA,GUA_EAST_OPEN,FOREREEF,DEEP,6.76
GUAM,GUA,GUA_EAST_OPEN,FOREREEF,MIDD,10.22
GUAM,GUA,GUA_WEST_OPEN,FOREREEF,DEEP,4.63
GUAM,GUA,GUA_WEST_OPEN,FOREREEF,MIDD,10.3
GUAM,GUA,GUA_EAST_OPEN,FOREREEF,SHAL,4.11
GUAM,GUA,GUA_WEST_OPEN,FOREREEF,SHAL,4.77
GUAM,GUA,GUA_MP,FOREREEF,DEEP,2.35
GUAM,GUA,GUA_MP,FOREREEF,MIDD,3.25
GUAM,GUA,GUA_MP,FOREREEF,SHAL,1.09
GUAM,GUA,GUA_LAND,FOREREEF,SHAL,0.1
GUAM,GUA,GUA_LAND,FOREREEF,MIDD,0.01
GUAM,GUA,GUA_HARBOR,FOREREEF,MIDD,0.03
GUAM,GUA,GUA_HARBOR,FOREREEF,DEEP,0.01
GUAM,GUA,GUA_HARBOR,FOREREEF,SHAL,0.04
ROTA,ROT,ROT_SECTOR,FOREREEF,DEEP,2.93
ROTA,ROT,ROT_SECTOR,FOREREEF,MIDD,6.01
ROTA,ROT,ROT_SECTOR,FOREREEF,SHAL,1.66
SAIPAN,SAI,SAI_SECTOR,FOREREEF,DEEP,18.92
SAIPAN,SAI,SAI_SECTOR,FOREREEF,MIDD,12.16
SAIPAN,SAI,SAI_SECTOR,FOREREEF,SHAL,3.44
TINIAN,TIN,TIN_SECTOR,FOREREEF,DEEP,6.06
TINIAN,TIN,TIN_SECTOR,FOREREEF,MIDD,6.99
TINIAN,TIN,TIN_SECTOR,FOREREEF,SHAL,1.44
AGUIJAN,AGU,AGU_SECTOR,FOREREEF,DEEP,3.01
AGUIJAN,AGU,AGU_SECTOR,FOREREEF,MIDD,1.9
AGUIJAN,AGU,AGU_SECTOR,FOREREEF,SHAL,0.18
AGRIHAN,AGR,AGR_SECTOR,FOREREEF,DEEP,4.58
AGRIHAN,AGR,AGR_SECTOR,FOREREEF,MIDD,1.31
AGRIHAN,AGR,AGR_SECTOR,FOREREEF,SHAL,1.17
ALAMAGAN,ALA,ALA_SECTOR,FOREREEF,DEEP,1.6
ALAMAGAN,ALA,ALA_SECTOR,FOREREEF,MIDD,1.67
ALAMAGAN,ALA,ALA_SECTOR,FOREREEF,SHAL,0.33
ASUNCION,ASC,ASC_SECTOR,FOREREEF,DEEP,0.57
ASUNCION,ASC,ASC_SECTOR,FOREREEF,MIDD,1.37
ASUNCION,ASC,ASC_SECTOR,FOREREEF,SHAL,0.32
GUGUAN,GUG,GUG_SECTOR,FOREREEF,DEEP,0.68
GUGUAN,GUG,GUG_SECTOR,FOREREEF,MIDD,0.9
GUGUAN,GUG,GUG_SECTOR,FOREREEF,SHAL,0.13
FARALLON_DE_PAJAROS,FDP,FDP_SECTOR,FOREREEF,DEEP,0.37
FARALLON_DE_PAJAROS,FDP,FDP_SECTOR,FOREREEF,MIDD,0.68
FARALLON_DE_PAJAROS,FDP,FDP_SECTOR,FOREREEF,SHAL,0.05
MAUG,MAU,MAU_SECTOR,FOREREEF,DEEP,0.84
MAUG,MAU,MAU_SECTOR,FOREREEF,MIDD,1.79
MAUG,MAU,MAU_SECTOR,FOREREEF,SHAL,0.22
PAGAN,PAG,PAG_SECTOR,FOREREEF,DEEP,6.19
PAGAN,PAG,PAG_SECTOR,FOREREEF,MIDD,4.99
PAGAN,PAG,PAG_SECTOR,FOREREEF,SHAL,0.29
SARIGAN,SAR,SAR_SECTOR,FOREREEF,DEEP,0.89
SARIGAN,SAR,SAR_SECTOR,FOREREEF,MIDD,0.6
SARIGAN,SAR,SAR_SECTOR,FOREREEF,SHAL,0.32
BAKER,BAK,BAK_SECTOR,FOREREEF,DEEP,0.61
BAKER,BAK,BAK_SECTOR,FOREREEF,MIDD,1.57
BAKER,BAK,BAK_SECTOR,FOREREEF,SHAL,1.19
HOWLAND,HOW,HOW_SECTOR,FOREREEF,DEEP,0.17
HOWLAND,HOW,HOW_SECTOR,FOREREEF,MIDD,0.45
HOWLAND,HOW,HOW_SECTOR,FOREREEF,SHAL,0.47
JARVIS,JAR,JAR_SECTOR,FOREREEF,DEEP,0.17
JARVIS,JAR,JAR_SECTOR,FOREREEF,MIDD,1.77
JARVIS,JAR,JAR_SECTOR,FOREREEF,SHAL,0.07
JOHNSTON,JOH,JOH_SECTOR,FOREREEF,MIDD,2.46
JOHNSTON,JOH,JOH_SECTOR,FOREREEF,DEEP,0.55
JOHNSTON,JOH,JOH_SECTOR,FOREREEF,SHAL,1.45
KINGMAN,KIN,KIN_SECTOR,PROTECTED SLOPE,DEEP,2.47
KINGMAN,KIN,KIN_SECTOR,PROTECTED SLOPE,MIDD,13.24
KINGMAN,KIN,KIN_SECTOR,PROTECTED SLOPE,SHAL,0.07
KINGMAN,KIN,KIN_SECTOR,LAGOON,MIDD,1.53
KINGMAN,KIN,KIN_SECTOR,LAGOON,DEEP,7.66
KINGMAN,KIN,KIN_SECTOR,FOREREEF,DEEP,0.43
KINGMAN,KIN,KIN_SECTOR,FOREREEF,MIDD,3.56
KINGMAN,KIN,KIN_SECTOR,FOREREEF,SHAL,1.84
KINGMAN,KIN,KIN_SECTOR,BACKREEF,MIDD,2.53
KINGMAN,KIN,KIN_SECTOR,BACKREEF,SHAL,2.75
KINGMAN,KIN,KIN_SECTOR,BACKREEF,DEEP,0.38
KINGMAN,KIN,KIN_SECTOR,LAGOON,SHAL,0.02
PALMYRA,PAL,PAL_SECTOR,FOREREEF,DEEP,6.5
PALMYRA,PAL,PAL_SECTOR,FOREREEF,MIDD,16.9
PALMYRA,PAL,PAL_SECTOR,FOREREEF,SHAL,7.67
WAKE,WAK,WAK_SECTOR,FOREREEF,DEEP,0.71
WAKE,WAK,WAK_SECTOR,FOREREEF,MIDD,0.96
WAKE,WAK,WAK_SECTOR,FOREREEF,SHAL,0.73
