REGION,ISLAND,ISLANDCODE,MAX_SITE_NUM
MARIAN,Agrihan,AGR,444
MARIAN,Aguijan,AGU,580
MARIAN,Alamagan,ALA,346
MARIAN,Anatahan,ANA,40
MARIAN,Asuncion,ASC,637
MARIAN,Farallon de Pajaros,FDP,404
MARIAN,Guam,GUA,2784
MARIAN,Guguan,GUG,337
MARIAN,Maug,MAU,1273
MARIAN,Pagan,PAG,1326
MARIAN,Rota,ROT,2090
MARIAN,Saipan,SAI,2113
MARIAN,Sarigan,SAR,401
MARIAN,Tinian,TIN,2076
PRIAs,Wake,WAK,2048
