REGION,ISLAND,ISLAND_CODE,x_min,x_max,y_min,y_max,MAP_NAME
SAMOA,TUTUILA,TUT,-170.849722,-170.740278,-14.376944,-14.285,TUT_W
SAMOA,TUTUILA,TUT,-170.755,-170.480833,-14.368056,-14.285,TUT_SE
SAMOA,TUTUILA,TUT,-170.755,-170.480833,-14.291944,-14.226389,TUT_NE
SAMOA,TUTUILA,TUT,-170.480833,-170.535556,-14.297778,-14.241111,TUT_E
