REGION,JurisdictionName,JurisdictionCode,SubjurisdictionName,SubjurisdictionCode,SEC_NAME,SectorName,SectorCode,REEF_ZONE,DEPTH_BIN,StrataName,StrataCode
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_NE_OPEN,Northeast Open,TUT_NEopen,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_NE_OPEN,Northeast Open,TUT_NEopen,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_NE_OPEN,Northeast Open,TUT_NEopen,Forereef,Shallow,Forereef Shallow,FRF_S
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_NW_OPEN,Northwest Open,TUT_NWopen,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_NW_OPEN,Northwest Open,TUT_NWopen,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_NW_OPEN,Northwest Open,TUT_NWopen,Forereef,Shallow,Forereef Shallow,FRF_S
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_PAGOPAGO,Pago Pago,TUT_PagoPago,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_PAGOPAGO,Pago Pago,TUT_PagoPago,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_PAGOPAGO,Pago Pago,TUT_PagoPago,Forereef,Shallow,Forereef Shallow,FRF_S
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_SE_OPEN,Southeast Open,TUT_SEopen,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_SE_OPEN,Southeast Open,TUT_SEopen,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_SE_OPEN,Southeast Open,TUT_SEopen,Forereef,Shallow,Forereef Shallow,FRF_S
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_SW_OPEN,Southwest Open,TUT_SWopen,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_SW_OPEN,Southwest Open,TUT_SWopen,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_SW_OPEN,Southwest Open,TUT_SWopen,Forereef,Shallow,Forereef Shallow,FRF_S
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Agrihan,AGR,Agrihan,Agrihan,AGR,Forereef,Deep,Forereef Deep,FRF_D
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Agrihan,AGR,Agrihan,Agrihan,AGR,Forereef,Mid,Forereef Mid,FRF_M
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Agrihan,AGR,Agrihan,Agrihan,AGR,Forereef,Shallow,Forereef Shallow,FRF_S
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Aguijan,AGU,Aguijan,Aguijan,AGU,Forereef,Deep,Forereef Deep,FRF_D
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Aguijan,AGU,Aguijan,Aguijan,AGU,Forereef,Mid,Forereef Mid,FRF_M
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Aguijan,AGU,Aguijan,Aguijan,AGU,Forereef,Shallow,Forereef Shallow,FRF_S
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,"Sarigan, Guguan and Alamagan",SGA,Alamagan,Alamagan,Alamagan,Forereef,Deep,Forereef Deep,FRF_D
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,"Sarigan, Guguan and Alamagan",SGA,Alamagan,Alamagan,Alamagan,Forereef,Mid,Forereef Mid,FRF_M
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,"Sarigan, Guguan and Alamagan",SGA,Alamagan,Alamagan,Alamagan,Forereef,Shallow,Forereef Shallow,FRF_S
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Asuncion,ASC,Asuncion,Asuncion,ASC,Forereef,Deep,Forereef Deep,FRF_D
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Asuncion,ASC,Asuncion,Asuncion,ASC,Forereef,Mid,Forereef Mid,FRF_M
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Asuncion,ASC,Asuncion,Asuncion,ASC,Forereef,Shallow,Forereef Shallow,FRF_S
MARIAN,Commonwealth of the Northern Mariana Islands,CNMI,Farallon de Pajaros,FDP,Farallon de Pajaros,Farallon de Pajaros,FDP,Forereef,Deep,Forereef Deep,FRF_D
