REGION,ISLAND,TOP_YMAX,BOTTOM_YMIN,LEFT_XMIN,RIGHT_XMAX,INCLUDED.ISLANDS
MHI,Hawaii,18.90465,20.281200000000002,-154.79420000000002,-156.070932,
MHI,Kahoolawe,20.49111,20.618830000000003,-156.5207,-156.7206,
MHI,Kauai,21.8589,22.256836680000003,-159.27210000000002,-159.8042446,
MHI,Kaula,21.642767,21.665167,-160.53365000000002,-160.555217,
MHI,Lanai,20.72067,20.94291,-156.7913791,-157.0715841,
MHI,Lehua,22.004533,22.039283,-160.0814,-160.11159999999998,
MHI,Maui,20.56842,21.04291926,-155.964224,-156.71079999999998,
MHI,Molokai,21.02225,21.225533000000002,-156.6963,-157.32422839999998,
MHI,Molokini,20.620299999999997,20.643600000000003,-156.4866,-156.50879999999998,
MHI,Niihau,21.77143,22.03773,-160.03820000000002,-160.26233299999998,
MHI,Oahu,21.23259,21.714478760000002,-157.638183,-158.303217,
