id,x,y,longitude,latitude,depth,strat
site_01,346.30009634438125,1644.4799737421909,145.57131936380026,14.870367292151805,2.1098523986598927,1
site_02,343.7940963443816,1644.2959737421907,145.54804186461118,14.868558068380585,4.0239541119120394,1
site_03,347.1950963443811,1642.6399737421912,145.57974553155333,14.853787998723222,2,1
site_04,345.2260963443814,1644.111973742191,145.561360534084,14.866978787665564,1,1
site_05,347.911096344381,1643.375973742191,145.5863557099115,14.860481424990171,16.552490435187803,2
site_06,346.12109634438127,1644.6639737421906,145.5696449244022,14.872020014111921,10.866007604698357,2
site_07,346.83709634438117,1641.719973742191,145.57647325869215,14.845451951285066,15.88394732372608,2
site_08,342.5410963443818,1640.6159737421913,145.53662167122468,14.83522287913756,10.253722177037988,2
site_09,342.5410963443818,1643.743973742191,145.53643136465266,14.863494934715892,11.808197369520268,2
site_10,342.0040963443819,1642.6399737421912,145.53150860165036,14.853484728261732,11.238432057279534,2
site_11,345.4050963443814,1645.2159737421907,145.5629579257878,14.87696767719232,26.93747035017533,3
site_12,342.18309634438185,1643.5599737421908,145.53311579106128,14.861810646172096,22.842236610754778,3
site_13,347.3740963443811,1642.455973742191,145.5814197473908,14.852135181281225,21.62061230765069,3
site_14,342.3620963443818,1644.111973742191,145.53474552062667,14.866810442258261,30,3
site_15,348.26909634438096,1643.9279737421907,145.58965015151313,14.865491177571279,26.006084566406802,3
site_16,347.911096344381,1644.8479737421908,145.58626909156172,14.87378619322524,20.01407298157579,3
