id,x,y,longitude,latitude,depth,strat,strat_area
site_01,359.60999999999694,1684.2650000000062,145.69282343333836,15.230713879379584,5.369858825907988,1,0.009999999999987495
site_02,362.80999999999585,1683.365000000007,145.72266245192168,15.22275038194403,4.9170787906646725,2,0.14999999999981242
site_03,359.3099999999971,1682.9650000000074,145.69010331513635,15.218947332659564,14.169302489757538,3,6.759999999991546
site_04,359.2099999999971,1683.1650000000072,145.68916125400483,15.220749639912396,12.211701493263245,3,6.759999999991546
site_05,360.30999999999676,1680.2650000000099,145.6995617675166,15.194596847817264,16.73058572769165,3,6.759999999991546
site_06,358.6099999999973,1673.8650000000157,145.68409663799736,15.136657201700526,17.195779509544373,3,6.759999999991546
site_07,359.10999999999717,1682.8650000000075,145.68824715645914,15.218032606853274,16.204073989391325,3,6.759999999991546
site_08,360.5099999999967,1683.9650000000065,145.70121845211105,15.228050875237091,12.69482649564743,4,0.7799999999990246
site_09,358.2099999999974,1682.1650000000081,145.67990872449374,15.211656504531314,28.236040093091674,5,34.41999999995696
site_10,360.90999999999656,1686.2650000000044,145.7048149044311,15.248861419573174,27.728878711132293,5,34.41999999995696
site_11,354.4099999999987,1682.4650000000079,145.6445196795376,15.214157602346456,29.54083484152089,5,34.41999999995696
site_12,362.6099999999959,1670.265000000019,145.72151254248615,15.104331075398328,24.68093099594116,5,34.41999999995696
site_13,352.5099999999994,1678.8650000000112,145.62704435268984,15.181511813721393,29.73137169862405,5,34.41999999995696
site_14,357.20999999999776,1679.8650000000102,145.67073059037727,15.190812832852913,27.561249532699584,5,34.41999999995696
site_15,355.10999999999854,1683.7650000000067,145.6509607491518,15.225946888134324,28.969399496681334,5,34.41999999995696
site_16,358.40999999999735,1675.2650000000144,145.68215732201017,15.149300544156045,19.63883177280426,5,34.41999999995696
site_17,359.10999999999717,1684.2650000000062,145.68816878739497,15.23068673962093,23.995347490310667,5,34.41999999995696
site_18,351.50999999999976,1678.8650000000112,145.61773748155863,15.181454891661243,29.30419355280259,5,34.41999999995696
site_19,359.409999999997,1679.6650000000104,145.69121825106836,15.18912506880491,27.81516275405884,5,34.41999999995696
site_20,352.3099999999995,1680.06500000001,145.62511275473798,15.192346614026413,29.635204152858005,5,34.41999999995696
site_21,355.5099999999984,1681.7650000000085,145.65479907820034,15.20789211953707,28.96402295892889,5,34.41999999995696
site_22,358.30999999999744,1683.0650000000073,145.68078893231723,15.219796749388236,25.989486722946168,5,34.41999999995696
site_23,355.0099999999985,1682.9650000000074,145.65007593422436,15.218710474317165,29.9439998626709,5,34.41999999995696
site_24,354.00999999999885,1682.6650000000077,145.640784733739,15.21594282103484,29.239020075116837,5,34.41999999995696
site_25,359.70999999999697,1677.7650000000122,145.694116057706,15.171967710091177,21.92090530904134,5,34.41999999995696
site_26,357.80999999999756,1673.9650000000156,145.67664691845422,15.13751757546683,22.776117486953737,5,34.41999999995696
site_27,355.90999999999826,1682.0650000000082,145.6585051875961,15.210625930512817,29.83602950152229,5,34.41999999995696
site_28,354.8099999999986,1683.0650000000073,145.64820844628287,15.219603136560718,29.515072328703745,5,34.41999999995696
site_29,369.20999999999367,1679.2650000000108,145.78245392516308,15.186021223803182,20.62802873338972,5,34.41999999995696
site_30,363.40999999999565,1687.1650000000036,145.7280414325748,15.257129491473194,29.226377105712892,5,34.41999999995696
site_31,361.60999999999626,1686.5650000000041,145.71131548733234,15.25161056754375,19.95598470247709,5,34.41999999995696
site_32,366.50999999999465,1670.9650000000183,145.75776112546617,15.110860476513194,26.48069121620872,5,34.41999999995696
