id,x,y,longitude,latitude,depth,strat
site_01,246.13368223764448,1464.9222654386385,144.65726448360226,13.240509801153099,0.2882362976670265,1
site_02,269.56103677829356,1491.9302200181764,144.87120644217336,13.486450851416553,2.6277802403156576,2
site_03,244.39453364729061,1489.6795571365483,144.63905076487924,13.46403809690903,5.178528696928225,3
site_04,244.90604793857116,1464.3084482891036,144.64599561975038,13.234859857954486,0.5302770336469015,4
site_05,277.13144828924567,1500.8305686864333,144.9404180597498,13.567461879140678,3.626145723241347,5
site_06,247.87283082799834,1484.6667170820128,144.67159723070182,13.419047252982763,0.8080294512212276,6
site_07,275.69920827366013,1504.6157744418988,144.9268912210987,13.601556782929059,5.125021258592605,7
site_08,245.2129565133395,1464.4107511473594,144.64881721587025,13.235810234823356,0.4283972578123212,8
site_09,258.8192366614021,1493.976277183293,144.7718541026797,13.504076961593908,2.1882348216098286,9
site_10,249.30507084358388,1465.9452940211968,144.68642648615648,13.250019816698957,0.6655066028237343,10
site_11,245.3152593715956,1464.615356863871,144.6497429756126,13.237667514177142,0.7712131410837173,11
site_12,262.0929281255976,1495.8177286318978,144.80192972789703,13.520982622469655,4.119950919151306,12
site_13,245.00835079682727,1464.5130540056152,144.64692135395745,13.236717143493394,0.6411105907389096,13
site_14,269.1518253452691,1491.3164028686415,144.86747720863903,13.480872270151668,5.151019163901293,14
site_15,247.56592225323,1488.2473171209667,144.66845193999276,13.451371362126945,2.42333673119545,15
site_16,249.5096765600961,1465.5360825881735,144.68834855048658,13.246339645989277,1.4973562479019165,16
site_17,245.92907652113226,1473.1064940991046,144.6546674383813,13.314436191791973,1.1111571861896663,17
site_18,248.69125369404722,1488.2473171209667,144.67883975773918,13.451467445600068,0.9856926757097244,18
site_19,247.15671082020557,1465.1268711551502,144.66668207356443,13.242444851203876,1.1313208502531051,19
site_20,269.04952248701306,1510.7539459372483,144.8649628709163,13.65650194570575,3.249969905614853,20
site_21,244.39453364729061,1464.103842572592,144.64129598431552,13.232967738302007,2.052109522819519,20
site_22,247.77052796974223,1466.2522025959643,144.6722465878388,13.252663964472077,4.171441320180893,21
site_23,244.39453364729061,1464.9222654386385,144.64122479398728,13.240362060477725,1.0494757628440856,22
site_24,244.49683650554672,1490.0887685695716,144.63995888408803,13.467744058936967,3.6579455506801604,23
site_25,257.18239092930435,1491.623311443409,144.75693885107975,13.482682152170542,1.5585241240262986,23
site_26,246.54289367066892,1466.1498997377084,144.66093258541792,13.251636050155078,4.888622727394104,24
site_27,244.59913936380283,1489.6795571365483,144.64093951233423,13.464055835503425,6.9580947265905495,25
site_28,242.65538505693675,1488.145014262711,144.62313335418003,13.450022816283553,10.81901174968051,26
site_29,244.39453364729061,1487.4288942549201,144.63925004788996,13.443704089409005,9.066386804580688,27
site_30,274.9830882658674,1504.8203801584104,144.92025939101208,13.603350486138623,7.20316017627716,28
