id,x,y,longitude,latitude,depth,strat,depth_bin
tut_0001,526.0113485874131,-1579.8842119847259,-170.7588280514669,-14.290646003542912,5.990124646500096,1,SHAL
tut_0002,523.1142485874182,-1579.8842119847259,-170.78568923305946,-14.290671704711034,2.1385652089165617,2,SHAL
tut_0003,525.6117485874138,-1587.840211984715,-170.762457361881,-14.362585281644293,5.746874590034901,3,SHAL
tut_0004,547.190148587375,-1579.4762119847264,-170.56247280123375,-14.286677105966358,3.5069711660444,4,SHAL
tut_0005,548.5887485873725,-1578.6602119847275,-170.54952052676947,-14.279275056002144,5.774637252399336,5,SHAL
tut_0006,535.8015485873955,-1577.8442119847286,-170.66808326757504,-14.272091789738944,3.4532233734359927,6,SHAL
tut_0007,547.190148587375,-1577.2322119847295,-170.56251197690545,-14.266387925412332,4.790938845703878,7,SHAL
tut_0008,539.0982485873894,-1578.8642119847273,-170.6375051716305,-14.281269699492377,5.997125970742103,8,SHAL
tut_0009,522.8145485874188,-1585.8002119847179,-170.78841788775097,-14.344164866647219,4.910993536471648,9,SHAL
tut_0010,519.8175485874242,-1581.0062119847244,-170.8162472276863,-14.30084208251536,9.429284107414583,10,MID
tut_0011,520.3170485874232,-1580.496211984725,-170.81161960870375,-14.296227180541303,11.165575293621922,10,MID
tut_0012,525.0123485874149,-1579.6802119847262,-170.7680924114364,-14.288810700617523,11.890886686294484,10,MID
tut_0013,525.3120485874142,-1587.7382119847152,-170.76523795009905,-14.361665804046524,9.983498720094676,11,MID
tut_0014,526.610748587412,-1587.840211984715,-170.75319194381404,-14.362575811105012,9.675401485932866,12,MID
tut_0015,525.6117485874138,-1588.3502119847144,-170.76245249645845,-14.367196520170985,10.843843083131395,13,MID
tut_0016,546.7905485873757,-1580.7002119847248,-170.56615643507587,-14.297750702356481,16.099110294975468,14,MID
tut_0017,547.7895485873739,-1580.1902119847255,-170.55690289775785,-14.293122464503693,12.990741608004434,14,MID
tut_0018,548.7885485873721,-1578.5582119847277,-170.54767000907177,-14.278349312069102,14.781965185354487,15,MID
tut_0019,533.0043485874005,-1577.8442119847286,-170.69401587960647,-14.272126498683704,15.458208114467569,16,MID
