id,x,y,longitude,latitude,depth,strat
site_01,312.77999999999986,2214.760000000002,145.2102149468368,20.02057974247654,5.087812812704789,1
site_02,314.4799999999992,2213.9600000000028,145.22654177489278,20.01351740759061,13.44371108170394,2
site_03,314.7799999999992,2213.760000000003,145.22942878535451,20.011739630692073,6.723433185130991,2
site_04,312.38,2214.260000000002,145.20644364754426,20.016024940963348,17.48379243850708,2
site_05,314.3799999999993,2215.8600000000006,145.22539357717372,20.03066922173228,8.153228571540431,2
site_06,312.5799999999999,2215.260000000001,145.20825250866628,20.025076518752517,7.996590378996614,2
site_07,314.67999999999915,2213.560000000003,145.22849342571723,20.00992360605596,16.548812646865844,2
site_08,312.5799999999999,2213.8600000000024,145.20839577208426,20.012431399265225,17.499075679779054,2
site_09,312.5799999999999,2215.6600000000008,145.208211556113,20.028689406539677,15.502257947921754,2
site_10,312.5799999999999,2215.460000000001,145.20823203350915,20.0268829628403,9.626098630428315,2
site_11,312.87999999999977,2213.6600000000026,145.2112829404362,20.010653932218567,17.514273166656494,2
site_12,314.67999999999915,2214.1600000000026,145.2284327371777,20.015343006281114,15.605308287484306,2
site_13,312.77999999999986,2216.1600000000008,145.21007176559868,20.03322486296174,26.97807502746582,3
site_14,313.47999999999956,2213.3600000000033,145.2170469123025,20.008002069202494,24.224455727471245,3
site_15,312.87999999999977,2213.560000000003,145.2112931518775,20.009750707059155,24.251722478866576,3
site_16,314.8799999999991,2213.560000000003,145.23040457835106,20.009942714049888,22.81957144964309,3
site_17,314.9799999999991,2215.760000000001,145.231137893261,20.029823408242144,20.46472044665404,3
site_18,313.1799999999997,2214.3600000000024,145.21407827527088,20.01700544931448,18.115865138639887,3
site_19,313.7799999999995,2215.760000000001,145.21966956487069,20.029708389458975,20.900629151951183,3
site_20,313.0799999999997,2213.560000000003,145.21320428450977,20.00977000046215,20.48152978685167,3
