id,x,y,longitude,latitude,depth,strat
site_01,301.82999999999845,1562.785000000007,145.16418447295675,14.12915074719281,4.630777412845243,1
site_02,302.2299999999983,1561.3850000000082,145.16798984630765,14.116526844223548,15.412038743495941,2
site_03,297.9299999999997,1561.7850000000078,145.12814290867777,14.119835222044726,17.346100021458273,2
site_04,298.9299999999994,1564.5850000000053,145.13719693433137,14.145210951357567,17.35655593567382,2
site_05,297.6299999999999,1563.0850000000066,145.12526878018508,14.131561736226221,15.380319786071777,2
site_06,306.6299999999968,1569.185000000001,145.20818175721928,14.18732561413191,27.74698594559071,3
site_07,298.12999999999965,1561.8850000000077,145.129987513571,14.120753331321257,20.702290487289428,3
site_08,308.12999999999624,1570.0850000000003,145.22201293887855,14.195562878666983,23.925052090501232,3
site_09,298.8299999999995,1562.785000000007,145.1364033128212,14.128937016660249,22.661721479089767,3
site_10,305.62999999999715,1568.5850000000016,145.1989615594353,14.18183372280613,27.11490970611572,3
site_11,301.0299999999987,1566.7850000000033,145.15648471640515,14.165242785894552,21.076649856567382,3
site_12,305.62999999999715,1568.4850000000017,145.19896869515927,14.180929986004985,24.702253494262695,3
site_13,300.8299999999988,1566.6850000000034,145.1546396428555,14.164324826465275,23.94949548959732,3
site_14,305.02999999999736,1568.3850000000018,145.19341821681294,14.17998441638393,29.74118869304657,3
site_15,307.8299999999964,1569.6850000000006,145.21926215253959,14.191927239575458,19.69540023803711,3
