id,x,y,longitude,latitude,depth,strat
site_01,359.60999999999694,1684.2650000000062,145.69282343333836,15.230713879379584,5.369858825907988,1
site_02,362.80999999999585,1682.7650000000076,145.7226951464985,15.217327105941395,1.9043699979782105,2
site_03,359.00999999999715,1683.5650000000069,145.68727708076818,15.22435423791017,14.018716721534728,3
site_04,370.0099999999934,1675.2650000000144,145.79010580331123,15.149905092085714,12.992300033569336,3
site_05,360.10999999999683,1681.0650000000091,145.69765584111954,15.201817061508185,17.650662984848022,3
site_06,365.1099999999951,1673.465000000016,145.74460217230424,15.133385938528711,14.405934432457233,3
site_07,360.6099999999966,1683.9650000000065,145.70214937382704,15.228056255910907,12.271936752796172,4
site_08,359.50999999999704,1678.6650000000113,145.69220465408287,15.180091764864068,29.58866379477761,5
site_09,354.60999999999865,1682.4650000000079,145.64638135837,15.214168819726776,29.631785008444716,5
site_10,353.2099999999991,1680.5650000000096,145.63346029562916,15.196916866139533,29.370975740494266,5
site_11,358.90999999999724,1681.7650000000085,145.6864470236106,15.208079197714737,25.234543144387544,5
site_12,354.60999999999865,1681.5650000000087,145.64643329254093,15.206034148665923,29.379955715603298,5
site_13,365.80999999999483,1675.9650000000138,145.75098332842026,15.156019426025537,21.29595301228185,5
site_14,352.80999999999926,1679.5650000000105,145.62979560495523,15.187855752231929,29.717910361015935,5
site_15,359.00999999999715,1675.765000000014,145.68771288545227,15.153852440784426,18.075142202243,5
site_16,359.2099999999971,1671.7650000000176,145.68979636482848,15.117708288348801,29.589832941691082,5
site_17,366.4099999999946,1670.9650000000183,145.75683069650256,15.110855364934908,22.203247840063913,5
site_18,373.60999999999217,1687.2650000000035,145.82300628065215,15.258551992641108,21.052566269768608,5
site_19,358.0099999999975,1674.9650000000147,145.67845187720565,15.146567169751613,22.584128251075743,5
site_20,370.20999999999333,1683.365000000007,145.7915504792771,15.223131432648563,23.586037745475767,5
site_21,359.8099999999969,1678.6650000000113,145.69499677901493,15.180107957492286,27.660097975730896,5
site_22,351.7099999999997,1679.6650000000104,145.61955185518858,15.188697060300747,28.134889207513208,5
site_23,365.30999999999506,1674.7650000000149,145.74639408362629,15.145146897091578,19.396377284526825,5
site_24,358.2099999999974,1681.6650000000086,145.679936861176,15.207137180495748,27.30313736838398,5
site_25,365.20999999999503,1673.565000000016,145.74552737530223,15.13429500215242,21.6936262907126,5
site_26,355.4099999999984,1682.4650000000079,145.65382808904002,15.214213535185543,29.855299711227417,5
