id,x,y,longitude,latitude,depth,strat
site_01,246.13368223764448,1464.9222654386385,144.65726448360226,13.240509801153099,0.2882362976670265,1
site_02,264.1389852907198,1487.1219856801526,144.82153609628133,13.442574826356617,3.1187154253323874,2
site_03,244.39453364729061,1489.6795571365483,144.63905076487924,13.46403809690903,5.178528696928225,3
site_04,244.90604793857116,1464.3084482891036,144.64599561975038,13.234859857954486,0.5302770336469015,4
site_05,275.8015111319163,1496.4315457814328,144.92847774874318,13.527608933649912,2.1180277865293413,5
site_06,245.11065365508338,1489.5772542782925,144.64567043300116,13.463175843308225,2.6592378711700437,6
site_07,262.8090481333903,1485.792048522827,144.8093679618905,13.430451264802796,2.7413934552731614,7
site_08,246.03137937938837,1464.8199625803827,144.6563298113747,13.2395768383026,0.7811455620186669,8
site_09,250.43040228440108,1465.1268711551502,144.69687539785073,13.24271914812651,0.8108658662438393,9
site_10,249.10046512707166,1466.2522025959643,144.68451310400832,13.252775644702153,2.3694325083494188,10
site_11,245.51986508810782,1464.7176597221269,144.65162111790207,13.238609178304966,0.7123922933387803,11
site_12,264.24128814897585,1501.035174402945,144.82133937317974,13.568299608267187,1.1942171869533402,12
site_13,245.00835079682727,1464.5130540056152,144.64692135395745,13.236717143493394,0.6411105907389096,13
site_14,251.04421943393774,1491.2141000103857,144.70030390434778,13.478472032718626,2.8673123967647554,14
site_15,247.56592225323,1488.2473171209667,144.66845193999276,13.451371362126945,2.42333673119545,15
site_16,244.80374508031505,1464.4107511473594,144.64504324903615,13.235775450077341,0.6956573756433081,16
site_17,258.6146309448899,1473.0041912408487,144.77171227254817,13.314565952409591,1.7783639454778204,17
site_18,248.79355655230333,1488.042711404455,144.6798019091925,13.44962755868933,0.8029330730438232,18
site_19,247.97513368625445,1464.7176597221269,144.67426544926386,13.238816512127698,1.0409438034557565,19
site_20,245.72447080462004,1464.4107511473594,144.65353468960336,13.235853637470782,4.643333193063736,20
site_21,244.70144222205894,1464.001539714336,144.64413530344524,13.232069575676395,4.180482884645462,20
site_22,247.77052796974223,1465.9452940211968,144.67227296368677,13.249891035058669,3.272743079662323,21
site_23,246.64519652892503,1467.7867454698016,144.66173475958934,13.266433540328379,1.3460704720020293,22
site_24,244.90604793857116,1490.0887685695716,144.64373644233513,13.467779517882272,1.376602798104286,23
site_25,244.2922307890345,1477.8124255788725,144.63915386842223,13.35681321832239,1.2365428334474564,23
site_26,246.74749938718114,1467.2752311785225,144.662722564304,13.261820686934024,1.526433869600296,24
site_27,244.49683650554672,1489.6795571365483,144.63999513826667,13.464046967976934,8.325724152156285,25
